Stn_Name,Tm,Tx,Tn,S,P,CDD,Year,Month,Fires_Ontario_Total
ATTAWAPISKAT A,12.6,28.3,0.2,,,2.9,2018,August,300.0
BIG TROUT LAKE A,14.7,28.2,1.5,,40.1,16.4,2018,August,300.0
BIG TROUT LAKE,14.3,28.4,1.0,,102.9,15.1,2018,August,300.0
EAR FALLS (AUT),18.7,33.2,6.2,,21.8,50.0,2018,August,300.0
FORT SEVERN A,11.6,20.7,2.5,,0.0,0.0,2018,August,300.0
LANSDOWNE HOUSE (AUT),15.1,29.1,1.2,,74.3,12.5,2018,August,300.0
MUSKRAT DAM,15.4,30.2,4.1,,95.1,18.9,2018,August,300.0
PEAWANUCK (AUT),13.2,29.0,-1.4,,101.6,9.0,2018,August,300.0
PICKLE LAKE (AUT),16.8,34.5,4.4,,31.3,44.6,2018,August,300.0
PICKLE LAKE A,,34.3,,,,,2018,August,300.0
RED LAKE A,,31.0,,,,,2018,August,300.0
BARWICK,18.6,32.5,5.0,0.0,70.6,45.3,2018,August,300.0
ATIKOKAN (AUT),17.9,32.2,5.2,,39.4,34.4,2018,August,300.0
FORT FRANCES RCS,16.9,31.7,0.9,,59.8,18.8,2018,August,300.0
MINE CENTRE SOUTHWEST,18.9,33.0,4.5,0.0,25.3,58.4,2018,August,300.0
DRYDEN REGIONAL,18.9,32.9,7.0,,36.6,63.8,2018,August,300.0
KENORA RCS,19.0,31.9,8.4,,40.5,65.2,2018,August,300.0
KENORA A,19.1,31.9,8.4,0.0,44.6,68.1,2018,August,300.0
RAWSON LAKE,16.5,28.0,7.0,0.0,16.5,22.0,2018,August,300.0
RAWSON LAKE (AUT),19.3,33.1,7.1,,36.3,61.3,2018,August,300.0
ROYAL ISLAND (AUT),20.7,32.1,10.3,,,87.6,2018,August,300.0
SIOUX LOOKOUT A,17.6,33.9,2.2,,,44.7,2018,August,300.0
ARMSTRONG (AUT),16.0,32.7,-0.8,,32.4,19.9,2018,August,300.0
CAMERON FALLS (AUT),16.8,29.5,6.6,,78.2,25.1,2018,August,300.0
CARIBOU ISLAND (AUT),16.3,21.6,8.8,,,1.3,2018,August,300.0
GERALDTON A,15.8,30.7,3.0,0.0,57.8,16.1,2018,August,300.0
HAZELWOOD,,,,0.0,43.6,,2018,August,300.0
PUKASKWA (AUT),15.4,27.0,4.0,,97.8,1.6,2018,August,300.0
TERRACE BAY AIRPORT,13.7,26.9,3.8,,114.2,0.7,2018,August,300.0
THUNDER BAY,17.1,31.1,4.6,,66.0,23.7,2018,August,300.0
THUNDER BAY BURWOOD,17.5,31.0,4.0,0.0,66.4,20.1,2018,August,300.0
THUNDER BAY CS,16.9,30.8,3.8,,60.7,20.7,2018,August,300.0
UPSALA (AUT),16.3,30.2,4.3,,55.5,21.8,2018,August,300.0
WELCOME ISLAND (AUT),17.1,26.2,9.7,,,16.7,2018,August,300.0
LITTLE FLATLAND ISLAND (AUT),18.1,28.4,9.6,,,33.1,2018,August,300.0
LAKE SUPERIOR PROVINCIAL PARK,16.6,28.2,1.9,,69.0,14.9,2018,August,300.0
SAULT STE MARIE A,18.7,30.5,5.2,0.0,127.0,45.5,2018,August,300.0
WAWA A,,25.1,,,,,2018,August,300.0
KILLARNEY (AUT),20.4,29.5,8.9,,,83.3,2018,August,300.0
CHAPLEAU A,,29.9,,,,,2018,August,300.0
MASSEY,19.8,31.0,1.0,0.0,73.2,69.0,2018,August,300.0
MONETVILLE 2,20.4,31.0,7.5,0.0,77.6,42.4,2018,August,300.0
SUDBURY CLIMATE,19.3,32.1,8.5,,93.1,54.3,2018,August,300.0
SUDBURY A,19.5,32.2,8.5,0.0,84.8,61.7,2018,August,300.0
BONNER LAKE,16.4,33.0,-1.0,0.0,88.1,31.4,2018,August,300.0
EARLTON A,18.0,31.4,3.6,,65.6,35.7,2018,August,300.0
EARLTON CLIMATE,18.0,31.6,3.6,,62.4,35.0,2018,August,300.0
KAPUSKASING A,16.4,32.6,-1.1,0.0,70.6,30.2,2018,August,300.0
KAPUSKASING CDA ON,16.6,32.6,-0.8,,57.9,33.8,2018,August,300.0
KIRKLAND LAKE CS,18.3,31.5,7.3,,64.4,43.4,2018,August,300.0
MOOSONEE,14.1,30.3,-0.9,,,14.1,2018,August,300.0
MOOSONEE UA,15.2,31.0,0.0,0.0,10.8,12.3,2018,August,300.0
MOOSONEE RCS,14.5,31.0,0.8,,48.2,15.2,2018,August,300.0
NAGAGAMI (AUT),15.4,30.8,1.9,,73.9,16.7,2018,August,300.0
OGOKI POST A,15.0,30.0,3.6,,15.0,14.4,2018,August,300.0
TIMMINS CLIMATE,17.3,31.7,1.0,,60.0,31.8,2018,August,300.0
TIMMINS A,17.3,31.6,1.1,,,31.0,2018,August,300.0
ALGONQUIN PARK EAST GATE,18.5,31.3,3.4,,113.8,44.9,2018,August,300.0
NORTH BAY A,19.2,31.1,6.8,,119.5,55.0,2018,August,300.0
NORTH BAY AIRPORT,19.2,31.5,6.7,,128.4,52.7,2018,August,300.0
GORE BAY CLIMATE,20.7,31.7,8.6,,59.0,91.8,2018,August,300.0
GREAT DUCK ISLAND (AUT),20.8,29.5,11.1,,,81.2,2018,August,300.0
APPLETON,21.0,32.0,8.0,0.0,78.0,99.4,2018,August,300.0
BROCKVILLE CLIMATE,21.1,30.9,8.1,,34.5,103.4,2018,August,300.0
BROCKVILLE PCC,21.8,31.0,9.5,0.0,41.8,119.3,2018,August,300.0
CHALK RIVER AECL,21.0,31.0,8.0,0.0,107.2,71.5,2018,August,300.0
CORNWALL,23.4,34.0,11.0,0.0,51.7,168.1,2018,August,300.0
DRUMMOND CENTRE,20.9,33.0,8.0,0.0,82.2,94.4,2018,August,300.0
HARTINGTON IHD,21.8,32.0,11.0,0.0,101.4,120.8,2018,August,300.0
KEMPTVILLE CS,21.6,33.5,8.4,,44.4,117.1,2018,August,300.0
KINGSTON CLIMATE,21.7,31.4,11.2,,102.0,117.0,2018,August,300.0
LYNDHURST SHAWMERE,22.2,32.0,10.0,0.0,45.4,119.2,2018,August,300.0
MOOSE CREEK WELLS,20.7,32.3,7.5,,53.0,92.5,2018,August,300.0
OMPAH-SEITZ,20.7,31.5,10.0,0.0,84.8,82.3,2018,August,300.0
OTTAWA CDA,21.7,32.0,10.5,0.0,68.4,118.4,2018,August,300.0
OTTAWA CDA RCS,21.5,31.9,10.7,,69.0,113.2,2018,August,300.0
OTTAWA INTL A,21.6,32.8,9.6,0.0,102.4,115.4,2018,August,300.0
PEMBROKE CLIMATE,20.5,32.3,8.2,,88.4,67.9,2018,August,300.0
PETAWAWA AWOS 2,20.4,33.1,5.2,,78.0,71.8,2018,August,300.0
ST. ALBERT,21.8,33.0,8.5,0.0,64.4,122.2,2018,August,300.0
PETAWAWA HOFFMAN,21.5,34.0,6.5,0.0,91.6,115.5,2018,August,300.0
BALDWIN,21.4,32.5,10.5,0.0,31.6,83.0,2018,August,300.0
BARRIE LANDFILL,21.0,32.5,11.5,0.0,114.0,46.0,2018,August,300.0
BEATRICE CLIMATE,19.3,30.4,7.9,,196.1,53.8,2018,August,300.0
COLDWATER WARMINSTER,21.9,32.5,12.0,0.0,150.4,122.2,2018,August,300.0
COLLINGWOOD,21.8,34.1,11.1,,60.2,122.1,2018,August,300.0
LAGOON CITY,21.5,29.9,12.2,,,106.8,2018,August,300.0
MARKDALE,21.1,31.5,11.0,0.0,97.6,81.6,2018,August,300.0
MUSKOKA,20.3,32.1,8.9,,114.1,71.6,2018,August,300.0
NIPISSING,,,,0.0,140.0,,2018,August,300.0
ORILLIA BRAIN,21.8,32.0,11.5,0.0,136.4,120.3,2018,August,300.0
PARRY SOUND CCG,21.3,30.7,11.1,,202.4,103.8,2018,August,300.0
SHANTY BAY,21.7,33.5,12.0,0.0,107.0,118.1,2018,August,300.0
BARRIE-ORO,20.5,33.0,10.2,,76.3,84.8,2018,August,300.0
SPRUCEDALE,,,,0.0,225.8,,2018,August,300.0
THORNBURY 3,,,,0.0,114.8,,2018,August,300.0
UDORA,21.6,32.0,11.0,0.0,90.0,113.8,2018,August,300.0
WIARTON A,20.6,32.6,9.1,0.0,92.2,87.0,2018,August,300.0
WESTERN ISLAND (AUT),21.7,28.8,11.9,,,102.1,2018,August,300.0
BORDEN AWOS,20.9,34.6,7.2,,93.0,90.9,2018,August,300.0
EGBERT CS,20.9,32.7,10.6,,150.0,96.6,2018,August,300.0
COVE ISLAND (AUT),20.9,26.9,13.0,,,82.6,2018,August,300.0
GODERICH,20.7,30.1,12.5,,190.0,88.7,2018,August,300.0
SARNIA,22.1,31.6,12.7,,84.6,118.5,2018,August,300.0
SARNIA CLIMATE,22.1,31.7,12.4,,145.1,127.7,2018,August,300.0
TOBERMORY RCS,20.2,28.7,10.7,,115.1,62.9,2018,August,300.0
WROXETER,,,,0.0,99.4,,2018,August,300.0
AMHERSTBURG,24.4,34.0,13.5,0.0,43.7,199.7,2018,August,300.0
CHATHAM WPCP,,,21.0,0.0,0.0,,2018,August,300.0
DELHI CS,21.7,31.6,10.4,,96.4,115.5,2018,August,300.0
FORT ERIE,23.0,31.5,11.5,0.0,132.2,151.0,2018,August,300.0
GRIMSBY MOUNTAIN,23.5,33.0,12.5,0.0,89.7,171.8,2018,August,300.0
HARROW CDA AUTO,22.9,32.2,13.0,,37.6,151.1,2018,August,300.0
KINGSVILLE MOE,23.5,30.0,14.0,0.0,81.4,153.2,2018,August,300.0
LONG POINT (AUT),23.0,29.2,17.0,,,135.7,2018,August,300.0
NEW GLASGOW,22.4,30.0,12.0,0.0,123.0,96.3,2018,August,300.0
PORT COLBORNE,23.5,34.0,13.5,0.0,344.4,160.8,2018,August,300.0
PORT WELLER (AUT),23.9,33.2,16.5,,80.7,183.7,2018,August,300.0
RIDGETOWN RCS,21.8,31.0,9.9,,99.5,120.9,2018,August,300.0
RIDGEVILLE,23.1,31.0,14.0,0.0,81.8,142.8,2018,August,300.0
ST THOMAS WPCP,22.5,32.0,11.0,0.0,154.3,129.3,2018,August,300.0
TILLSONBURG WWTP,,,,0.0,85.7,,2018,August,300.0
VINELAND STATION RCS,23.4,33.1,12.2,,58.8,166.4,2018,August,300.0
WELLAND-PELHAM,21.9,31.2,10.7,,96.8,124.0,2018,August,300.0
WINDSOR RIVERSIDE,24.6,34.5,14.0,0.0,63.0,204.4,2018,August,300.0
WINDSOR A,22.8,32.4,11.8,0.0,53.3,135.5,2018,August,300.0
PORT COLBORNE (AUT),22.5,28.0,15.5,,,139.2,2018,August,300.0
POINT PELEE CS,23.4,32.0,12.1,,,166.8,2018,August,300.0
BRANTFORD AIRPORT,21.2,31.7,10.0,,116.6,104.8,2018,August,300.0
ELORA RCS,20.2,31.1,10.0,,74.0,77.8,2018,August,300.0
FERGUS SHAND DAM,21.4,31.5,10.5,0.0,87.3,108.4,2018,August,300.0
FERGUS MOE,21.4,32.0,10.5,0.0,79.5,90.2,2018,August,300.0
GUELPH TURFGRASS,20.7,31.9,8.8,,,91.9,2018,August,300.0
KITCHENER/WATERLOO,20.8,32.4,8.5,,92.3,93.9,2018,August,300.0
LONDON A,21.3,30.6,11.5,,,107.3,2018,August,300.0
LONDON CS,21.8,31.2,11.8,,87.9,119.4,2018,August,300.0
MOUNT FOREST (AUT),20.4,30.5,10.9,,196.0,76.2,2018,August,300.0
ROSEVILLE,21.4,30.5,12.0,0.0,126.7,105.4,2018,August,300.0
STRATHROY-MULLIFARRY,21.8,32.5,9.5,0.0,159.0,118.9,2018,August,300.0
WOODSTOCK,20.1,29.5,9.0,0.0,43.1,17.5,2018,August,300.0
BELLEVILLE,23.3,32.0,11.5,0.0,111.4,164.0,2018,August,300.0
BURLINGTON PIERS (AUT),23.3,32.1,14.4,,,165.1,2018,August,300.0
CENTREVILLE,22.2,33.0,9.5,0.0,126.0,126.8,2018,August,300.0
COBOURG (AUT),21.6,28.5,12.2,,73.5,113.7,2018,August,300.0
COBOURG STP,22.1,28.0,12.0,0.0,97.0,61.0,2018,August,300.0
GEORGETOWN WWTP,22.1,32.0,10.0,0.0,61.7,87.6,2018,August,300.0
HAMILTON A,21.7,31.7,11.3,0.0,119.0,120.5,2018,August,300.0
HAMILTON RBG CS,21.6,31.6,11.5,,49.8,110.4,2018,August,300.0
OAKVILLE TWN,23.9,35.0,14.5,0.0,121.2,183.4,2018,August,300.0
OSHAWA,21.9,32.5,10.9,,105.4,107.9,2018,August,300.0
OSHAWA WPCP,22.6,31.0,14.0,0.0,103.0,144.1,2018,August,300.0
PA KING CITY,21.3,31.5,11.9,,,109.4,2018,August,300.0
POINT PETRE (AUT),21.9,28.8,10.2,,51.2,119.5,2018,August,300.0
MONO CENTRE,20.7,30.8,10.4,,164.1,90.4,2018,August,300.0
TORONTO CITY,23.5,32.3,15.7,,169.5,170.3,2018,August,300.0
TORONTO CITY CENTRE,23.2,31.2,15.5,,197.7,152.0,2018,August,300.0
TORONTO BUTTONVILLE A,22.3,32.7,12.0,0.0,94.7,127.2,2018,August,300.0
TORONTO INTL A,23.2,34.9,14.6,0.0,118.2,162.4,2018,August,300.0
TRENTON A,21.6,32.4,9.8,0.0,86.0,98.3,2018,August,300.0
UXBRIDGE WEST,20.7,30.9,11.0,,121.4,80.9,2018,August,300.0
MOUNTAINVIEW,23.4,33.0,15.5,0.0,104.4,108.3,2018,August,300.0
TORONTO NORTH YORK,22.9,34.0,11.5,0.0,119.2,152.1,2018,August,300.0
HALIBURTON 3,20.3,32.5,5.5,0.0,149.4,82.5,2018,August,300.0
PETERBOROUGH A,20.5,33.3,8.2,,98.4,85.4,2018,August,300.0
PETERBOROUGH TRENT U,21.5,33.4,9.3,,106.4,113.1,2018,August,300.0
SONYA SUNDANCE MEADOWS,,,,0.0,99.1,,2018,August,300.0
TAPLEY,,,,0.0,90.9,,2018,August,300.0
BANCROFT AUTO,19.0,31.5,2.4,,70.5,55.4,2018,August,300.0
ATTAWAPISKAT A,16.0,32.3,2.0,,38.7,33.8,2024,August,
BIG TROUT LAKE A,16.7,30.1,-0.4,,25.8,32.7,2024,August,
BIG TROUT LAKE,16.8,30.9,-0.2,,27.5,34.8,2024,August,
EAR FALLS (AUT),18.4,30.3,9.0,,97.8,40.5,2024,August,
FORT SEVERN A,14.5,31.9,0.9,,32.5,26.2,2024,August,
LANSDOWNE HOUSE A,16.8,30.3,1.6,,65.2,34.3,2024,August,
LANSDOWNE HOUSE (AUT),16.5,30.1,0.7,,60.4,28.6,2024,August,
MUSKRAT DAM,17.3,29.4,3.8,,,35.4,2024,August,
PEAWANUCK (AUT),14.8,33.4,-0.1,,10.3,29.9,2024,August,
PEAWANUCK A,14.9,33.4,0.8,,11.3,30.1,2024,August,
PICKLE LAKE (AUT),18.2,29.9,7.5,,89.7,52.9,2024,August,
PICKLE LAKE A,18.2,29.6,7.6,,91.9,54.0,2024,August,
RED LAKE A,18.3,31.1,6.4,,,43.9,2024,August,
SANDY LAKE A,17.8,30.9,5.3,,35.8,40.9,2024,August,
WEAGAMOW LAKE,16.8,29.7,3.1,,23.6,26.7,2024,August,
BARWICK,19.2,31.5,7.0,0.0,90.2,54.8,2024,August,
ATIKOKAN (AUT),17.8,30.0,6.3,,39.6,27.8,2024,August,
FORT FRANCES RCS,17.9,30.4,4.6,,57.9,27.8,2024,August,
DRYDEN REGIONAL,18.6,30.4,9.4,,86.5,50.2,2024,August,
KENORA RCS,19.3,31.2,9.0,,55.6,62.8,2024,August,
KENORA A,19.4,31.0,8.8,0.0,57.0,64.0,2024,August,
RAWSON LAKE,16.3,22.0,9.9,0.0,54.1,7.5,2024,August,
RAWSON LAKE (AUT),18.8,31.4,9.9,,61.2,53.2,2024,August,
ROYAL ISLAND (AUT),21.1,31.7,12.1,,41.0,102.9,2024,August,
SIOUX LOOKOUT A,17.7,30.9,6.6,0.0,83.1,35.3,2024,August,
SIOUX LOOKOUT AIRPORT,18.1,30.5,7.1,,76.3,42.3,2024,August,
ARMSTRONG (AUT),16.1,31.7,-0.4,,43.0,25.1,2024,August,
ARMSTRONG A,16.2,31.2,0.8,,42.1,29.0,2024,August,
CAMERON FALLS (AUT),18.0,32.6,5.0,,62.5,42.5,2024,August,
CARIBOU ISLAND (AUT),19.1,30.0,8.2,,47.4,31.1,2024,August,
GERALDTON A,16.8,30.1,1.3,,69.3,30.1,2024,August,
GERALDTON AIRPORT,16.9,30.1,1.4,,35.4,29.6,2024,August,
HAZELWOOD,,,,0.0,86.8,,2024,August,
MARATHON A,15.8,29.7,1.2,,,9.8,2024,August,
PUKASKWA (AUT),16.6,26.9,3.6,,102.4,12.3,2024,August,
TERRACE BAY AIRPORT,16.2,30.8,2.0,,114.1,15.5,2024,August,
THUNDER BAY,18.3,30.9,4.3,,67.6,40.4,2024,August,
THUNDER BAY A,18.3,30.9,4.3,,,37.9,2024,August,
THUNDER BAY CS,18.2,31.0,3.6,,57.1,42.3,2024,August,
UPSALA (AUT),16.6,29.4,2.9,,38.7,18.0,2024,August,
WELCOME ISLAND (AUT),19.1,27.9,11.9,,39.0,49.6,2024,August,
LITTLE FLATLAND ISLAND (AUT),19.1,28.0,11.8,,34.2,50.5,2024,August,
LAKE SUPERIOR PROVINCIAL PARK,16.2,29.4,3.2,,90.7,14.9,2024,August,
SAULT STE MARIE A,18.4,32.0,3.9,0.0,91.9,41.7,2024,August,
SAULT STE. MARIE AIRPORT,18.8,31.6,6.0,,85.1,49.4,2024,August,
WAWA A,16.4,27.6,4.6,,,13.2,2024,August,
CHAPLEAU A,16.6,32.1,3.3,,,21.3,2024,August,
CHAPLEAU AIRPORT,16.9,32.4,3.4,,74.3,29.4,2024,August,
MONETVILLE 2,19.0,32.0,6.0,0.0,27.2,46.4,2024,August,
SUDBURY CLIMATE,18.4,31.9,5.3,,39.5,48.2,2024,August,
SUDBURY A,18.7,31.8,5.8,0.0,43.4,53.5,2024,August,
BONNER LAKE,17.4,33.0,1.0,0.0,69.4,35.9,2024,August,
EARLTON A,17.5,32.8,3.6,,70.4,38.9,2024,August,
EARLTON CLIMATE,17.9,33.1,4.0,,72.1,44.8,2024,August,
KAPUSKASING A,17.5,32.1,3.5,0.0,65.0,38.8,2024,August,
KAPUSKASING A,17.3,32.1,0.0,,,38.8,2024,August,
KAPUSKASING CDA ON,17.4,32.3,0.5,,67.5,40.7,2024,August,
KIRKLAND LAKE,15.9,32.1,-1.2,,49.5,20.7,2024,August,
MOOSONEE,16.9,32.7,0.2,,34.1,45.6,2024,August,
MOOSONEE RCS,16.6,33.0,-0.9,,41.7,40.0,2024,August,
NAGAGAMI (AUT),16.7,32.0,0.5,,79.1,33.8,2024,August,
OGOKI POST A,17.3,32.3,4.3,,94.8,52.1,2024,August,
OGOKI POST,17.2,32.3,3.9,,93.9,49.6,2024,August,
TIMMINS CLIMATE,17.1,33.6,0.1,,46.3,37.5,2024,August,
TIMMINS A,17.0,33.5,-0.2,0.0,16.1,35.3,2024,August,
ALGONQUIN PARK EAST GATE,17.1,31.1,4.5,,122.9,29.9,2024,August,
NORTH BAY A,18.1,30.3,6.5,,62.0,43.3,2024,August,
NORTH BAY AIRPORT,18.1,29.9,6.9,,50.9,38.9,2024,August,
GORE BAY-MANITOULIN,19.8,31.3,8.9,,12.9,47.4,2024,August,
GORE BAY CLIMATE,19.5,31.7,10.4,,46.6,58.6,2024,August,
APPLETON,20.0,31.5,8.5,0.0,159.4,75.1,2024,August,
BROCKVILLE CLIMATE,19.7,30.6,10.3,,156.5,65.5,2024,August,
CHALK RIVER AECL,19.9,33.0,10.0,0.0,15.6,28.8,2024,August,
CORNWALL,21.1,31.5,10.0,0.0,193.3,106.2,2024,August,
DRUMMOND CENTRE,19.8,32.0,9.0,0.0,170.8,71.6,2024,August,
GRENADIER ISLAND,20.9,30.7,11.8,,98.2,78.8,2024,August,
HARTINGTON IHD,19.9,32.0,9.0,0.0,95.8,71.2,2024,August,
KEMPTVILLE CS,19.9,31.7,9.3,,142.2,76.1,2024,August,
KINGSTON CLIMATE,19.9,31.1,9.1,,56.7,70.2,2024,August,
KINGSTON A,19.8,31.3,9.3,,,58.7,2024,August,
MOOSE CREEK WELLS,19.4,30.5,7.4,,168.1,65.5,2024,August,
OMPAH-SEITZ,19.1,32.0,7.0,0.0,118.8,64.2,2024,August,
OTTAWA CDA,21.0,32.5,11.0,0.0,133.2,99.2,2024,August,
OTTAWA CDA RCS,20.2,31.6,11.1,,134.9,80.8,2024,August,
OTTAWA INTL A,19.9,32.1,9.3,0.0,101.9,77.1,2024,August,
PEMBROKE CLIMATE,18.8,33.2,5.9,,183.8,57.3,2024,August,
ST. ALBERT,20.0,31.5,8.0,0.0,176.4,79.5,2024,August,
PETAWAWA HOFFMAN,20.1,34.0,8.5,0.0,184.6,79.3,2024,August,
BALDWIN,19.8,31.5,7.0,0.0,75.8,69.6,2024,August,
BARRIE LANDFILL,21.1,32.0,10.0,0.0,38.3,57.1,2024,August,
BEATRICE CLIMATE,18.0,30.1,5.5,,91.6,37.8,2024,August,
COLDWATER WARMINSTER,20.4,31.0,9.0,0.0,83.6,85.1,2024,August,
LAGOON CITY,20.0,29.4,10.5,,,69.0,2024,August,
MARKDALE,19.3,31.5,4.5,0.0,60.2,48.0,2024,August,
MUSKOKA,18.7,31.3,7.1,,130.7,50.9,2024,August,
ORILLIA BRAIN,20.4,31.0,9.0,0.0,65.2,87.5,2024,August,
PARRY SOUND CCG,20.2,30.9,8.9,,97.9,75.8,2024,August,
SHANTY BAY,20.0,31.0,7.0,0.0,68.8,75.3,2024,August,
BARRIE-ORO,18.5,30.7,8.7,,35.0,36.4,2024,August,
UDORA,20.1,31.0,9.0,0.0,102.9,78.5,2024,August,
WIARTON A,18.9,30.1,6.6,,,45.0,2024,August,
WESTERN ISLAND (AUT),21.1,26.7,14.5,,,41.8,2024,August,
EGBERT CS,19.0,31.0,6.5,,74.1,53.4,2024,August,
GODERICH,19.5,29.6,6.4,,41.5,66.7,2024,August,
SARNIA,20.8,32.9,8.8,,84.7,93.3,2024,August,
SARNIA CLIMATE,20.7,32.9,8.6,,81.6,91.7,2024,August,
TOBERMORY RCS,19.0,29.6,10.7,,144.6,44.3,2024,August,
AMHERSTBURG,23.2,34.5,10.0,0.0,99.2,161.0,2024,August,
CHATHAM KENT,20.5,31.6,7.5,,88.7,92.0,2024,August,
CEDAR SPRINGS,21.3,29.4,9.7,,60.0,93.0,2024,August,
DELHI CS,19.7,31.9,4.4,,139.9,70.3,2024,August,
GRIMSBY MOUNTAIN,21.6,32.5,9.5,0.0,96.4,115.2,2024,August,
HARROW CDA AUTO,21.4,31.9,8.3,,126.1,113.9,2024,August,
NEW GLASGOW,19.8,30.0,8.0,0.0,50.0,49.0,2024,August,
PORT COLBORNE,21.3,30.0,10.0,0.0,49.8,106.7,2024,August,
PORT WELLER (AUT),22.5,31.0,15.2,,58.7,139.1,2024,August,
RIDGETOWN RCS,20.2,31.5,6.2,,108.5,83.3,2024,August,
ST CATHARINES A,20.9,31.7,9.9,,,91.0,2024,August,
ST THOMAS WPCP,20.1,31.5,7.0,0.0,45.5,46.1,2024,August,
TILLSONBURG WWTP,,,,0.0,92.5,,2024,August,
VINELAND STATION RCS,21.5,31.5,11.8,,69.4,105.5,2024,August,
WELLAND-PELHAM,20.2,29.7,9.3,,66.0,79.6,2024,August,
WINDSOR RIVERSIDE,23.3,35.0,10.0,0.0,126.2,163.7,2024,August,
WINDSOR A,21.6,33.4,9.6,,155.1,115.2,2024,August,
PORT COLBORNE (AUT),20.9,28.7,11.8,,,97.9,2024,August,
POINT PELEE CS,22.1,32.0,8.7,,174.6,133.8,2024,August,
BRANTFORD AIRPORT,20.1,32.3,8.0,,39.3,78.6,2024,August,
ELORA RCS,18.5,29.7,6.4,,64.7,45.2,2024,August,
FERGUS SHAND DAM,19.6,30.0,8.5,0.0,61.7,66.6,2024,August,
FERGUS MOE,19.7,31.0,7.5,0.0,39.9,50.7,2024,August,
GUELPH TURFGRASS INSTITUTE,18.9,30.5,6.9,,77.9,54.1,2024,August,
KITCHENER/WATERLOO,19.0,31.6,5.8,,103.5,54.6,2024,August,
LONDON A,19.7,30.2,7.5,,,69.0,2024,August,
LONDON CS,20.2,30.8,8.0,,74.8,81.2,2024,August,
MOUNT FOREST (AUT),18.9,29.6,6.4,,58.7,50.8,2024,August,
ROSEVILLE,19.5,30.0,7.5,0.0,124.6,59.9,2024,August,
STRATHROY-MULLIFARRY,20.5,31.5,6.5,0.0,64.2,91.1,2024,August,
WOODSTOCK,19.6,32.0,8.0,0.0,73.6,22.5,2024,August,
BELLEVILLE,21.4,31.0,10.0,0.0,80.5,105.3,2024,August,
BELLEVILLE QUINTE,19.3,30.9,8.7,,61.2,50.0,2024,August,
BURLINGTON PIERS (AUT),21.8,31.0,13.0,,,120.5,2024,August,
CENTREVILLE,20.3,32.0,9.0,0.0,86.6,83.6,2024,August,
COBOURG (AUT),19.9,30.3,10.0,,32.3,62.2,2024,August,
COBOURG STP,19.4,27.5,9.0,0.0,7.6,29.1,2024,August,
GEORGETOWN WWTP,20.4,31.0,8.0,0.0,69.3,46.4,2024,August,
HAMILTON A,20.1,30.6,7.3,0.0,71.5,72.6,2024,August,
HAMILTON RBG CS,20.8,32.6,9.1,,52.4,96.0,2024,August,
KING CITY NORTH,19.6,30.0,8.6,,59.1,68.4,2024,August,
OSHAWA,20.1,30.8,9.6,,98.0,76.3,2024,August,
POINT PETRE (AUT),20.6,28.1,11.0,,61.9,83.8,2024,August,
MONO CENTRE,19.0,29.7,8.7,,61.3,54.4,2024,August,
TORONTO CITY,21.7,32.4,11.4,,66.1,119.3,2024,August,
TORONTO CITY CENTRE,21.6,30.0,12.3,,31.6,114.8,2024,August,
TORONTO INTL A,21.0,32.2,10.7,0.0,181.8,97.4,2024,August,
TRENTON A,20.1,30.6,9.8,0.0,78.2,72.9,2024,August,
UXBRIDGE WEST,19.3,30.1,8.7,,143.9,53.4,2024,August,
TORONTO NORTH YORK,21.4,32.0,10.0,0.0,148.2,110.7,2024,August,
PETERBOROUGH A,18.6,30.8,7.5,,53.7,45.0,2024,August,
PETERBOROUGH TRENTU FARM,19.0,30.8,8.4,,126.1,52.4,2024,August,
TAPLEY,,,,0.0,69.8,,2024,August,
BANCROFT AUTO,17.6,30.9,5.4,,124.1,36.0,2024,August,
BIG TROUT LAKE READAC,14.8,30.4,-2.2,,15.5,15.2,2011,June,129.0
EAR FALLS (AUT),15.3,27.5,1.6,,71.4,14.3,2011,June,129.0
FORT SEVERN A,10.2,29.7,-1.9,,,6.4,2011,June,129.0
LANSDOWNE HOUSE (AUT),13.7,29.7,-2.6,,27.4,7.7,2011,June,129.0
"MUSKRAT DAM 'A', ONTARIO",15.8,29.7,-1.0,,,28.6,2011,June,129.0
PEAWANUCK (AUT),10.6,30.6,-3.5,,29.5,6.1,2011,June,129.0
PICKLE LAKE (AUT),15.5,29.6,0.9,,66.0,20.9,2011,June,129.0
PICKLE LAKE A,15.6,29.7,0.9,3.6,73.8,22.2,2011,June,129.0
RED LAKE A,15.7,28.4,1.6,0.0,108.4,15.9,2011,June,129.0
SANDY LAKE,15.8,29.1,0.1,,,25.2,2011,June,129.0
BARWICK,15.2,27.0,-1.0,0.0,110.4,8.9,2011,June,129.0
ATIKOKAN (AUT),15.0,30.3,-0.6,,84.0,9.3,2011,June,129.0
FORT FRANCES RCS,15.4,28.1,0.1,,92.0,15.0,2011,June,129.0
MINE CENTRE SOUTHWEST,14.3,27.5,-2.0,0.0,129.1,0.0,2011,June,129.0
DRYDEN REGIONAL,16.1,28.0,3.2,,61.4,15.9,2011,June,129.0
KENORA RCS,16.0,27.5,4.4,,54.6,16.2,2011,June,129.0
KENORA A,16.2,27.8,4.4,0.0,67.2,18.9,2011,June,129.0
