Stn_Name,Tm,Tx,Tn,S,P,CDD,Year,Month
OTTAWA CDA RCS,18.1,29.4,8.3,,104.7,36.4,2010,June
OTTAWA MACDONALD-CARTIER INT'L A,17.9,29.0,8.3,0.0,120.2,33.4,2010,June
PETAWAWA AWOS 2,16.3,29.8,4.6,,83.0,17.8,2010,June
RUSSELL,18.4,29.0,8.5,0.0,112.3,43.5,2010,June
ST. ALBERT,18.1,28.0,6.5,0.0,131.2,38.4,2010,June
PETAWAWA HOFFMAN,17.5,30.0,6.5,0.0,105.2,27.3,2010,June
BALACLAVA,,,,0.0,143.7,,2010,June
BALDWIN,17.9,29.5,5.5,0.0,109.6,30.9,2010,June
BEATRICE CLIMATE,15.4,26.2,2.1,,167.8,8.5,2010,June
BRITT (AUT),15.5,22.1,6.9,,0.0,0.0,2010,June
CHATSWORTH,16.9,28.0,2.5,0.0,178.6,19.3,2010,June
COLDWATER WARMINSTER,17.4,28.0,7.0,0.0,175.4,26.1,2010,June
COLLINGWOOD,17.0,28.9,7.1,,152.3,21.9,2010,June
DUNCHURCH,15.6,26.0,2.0,0.0,161.8,9.7,2010,June
LAGOON CITY,17.4,25.6,9.1,,,19.9,2010,June
MARKDALE,17.9,27.0,6.0,0.0,122.2,11.0,2010,June
MIDLAND WATER POLLUTION CONTROL PLANT,15.7,26.5,8.0,0.0,56.0,4.5,2010,June
MUSKOKA,16.1,27.1,3.4,,141.5,12.0,2010,June
NIPISSING,,,,0.0,135.2,,2010,June
ORILLIA BRAIN,17.6,29.5,7.5,0.0,179.0,29.9,2010,June
PARRY SOUND CCG,16.8,25.9,6.0,,135.7,11.9,2010,June
PARRY SOUND HARBOUR,17.1,26.5,6.0,0.0,143.8,15.5,2010,June
PORT LAW,15.4,27.0,1.5,0.0,164.0,7.8,2010,June
POWASSAN,15.9,27.0,3.5,0.0,122.0,12.1,2010,June
PRICEVILLE,,,,0.0,172.2,,2010,June
RAVENSCLIFFE,16.9,28.0,4.0,0.0,153.0,20.2,2010,June
SHANTY BAY,17.6,28.5,6.0,0.0,169.9,27.3,2010,June
BARRIE-ORO,16.5,28.3,7.3,,181.5,14.2,2010,June
SPRUCEDALE,,,,0.0,296.4,,2010,June
THORNBURY 3,,,,0.0,147.2,,2010,June
UDORA,17.5,29.0,4.5,0.0,150.1,29.4,2010,June
WIARTON A,16.0,26.3,4.7,0.0,164.0,7.0,2010,June
BORDEN AWOS,16.8,29.6,2.0,,,19.6,2010,June
EGBERT CS,16.9,29.1,5.3,,134.5,19.2,2010,June
GODERICH,17.1,27.9,4.8,,185.9,25.9,2010,June
NAIRN,18.9,29.5,5.0,0.0,86.0,46.6,2010,June
KINCARDINE,17.6,28.5,4.5,0.0,193.4,28.4,2010,June
PETROLIA ROKEBY,19.9,30.5,5.5,0.0,76.9,76.0,2010,June
SARNIA,19.3,30.7,6.9,,55.7,64.2,2010,June
SARNIA CLIMATE,19.4,30.9,7.3,,72.1,66.0,2010,June
SOUTHAMPTON 2,17.0,28.5,4.5,0.0,148.2,19.8,2010,June
TARA,17.3,28.5,5.0,0.0,143.0,19.4,2010,June
TOBERMORY RCS,14.7,22.9,5.5,,160.9,0.7,2010,June
WROXETER,,,,0.0,193.2,,2010,June
THEDFORD,19.3,31.5,4.5,0.0,60.0,63.2,2010,June
AMHERSTBURG,22.2,31.5,9.0,0.0,105.7,111.1,2010,June
CHATHAM WPCP,21.4,30.5,10.0,0.0,16.8,32.4,2010,June
DELHI CS,19.3,29.1,4.8,,104.7,59.1,2010,June
FORT ERIE,18.9,27.0,6.0,0.0,197.9,44.1,2010,June
GRIMSBY MOUNTAIN,19.9,30.3,7.4,0.0,141.6,74.7,2010,June
HARROW CDA AUTO,21.5,31.0,9.3,,73.7,113.3,2010,June
KINGSVILLE MOE,21.9,31.0,10.5,0.0,84.2,120.9,2010,June
LONG POINT (AUT),18.9,25.6,11.9,,,44.2,2010,June
NEW GLASGOW,20.1,30.0,6.0,0.0,79.0,78.6,2010,June
NIAGARA FALLS NPCSH,21.4,28.7,10.0,0.0,27.9,22.8,2010,June
PORT COLBORNE,19.8,27.5,8.0,0.0,125.3,64.1,2010,June
PORT WELLER (AUT),19.5,28.3,12.0,,126.3,60.6,2010,June
RAINHAM CENTURY FARM,19.3,27.0,7.0,0.0,24.6,19.1,2010,June
RIDGETOWN RCS,19.3,29.9,5.3,,97.3,62.7,2010,June
ST THOMAS WPCP,20.0,29.0,4.0,0.0,19.0,32.4,2010,June
TILLSONBURG NORTH,19.9,29.5,4.5,0.0,118.3,64.0,2010,June
TILLSONBURG MOE,,,,0.0,114.2,,2010,June
VINELAND,20.1,29.5,8.5,0.0,123.0,78.6,2010,June
VINELAND STATION RCS,19.6,29.4,8.1,,129.7,67.0,2010,June
WATERFORD,,,,0.0,92.2,,2010,June
WELLAND,19.8,29.0,6.0,0.0,152.0,57.4,2010,June
WELLAND-PELHAM,19.0,27.9,6.8,,143.9,51.3,2010,June
WINDSOR RIVERSIDE,22.4,32.0,10.0,0.0,173.4,135.9,2010,June
WINDSOR A,22.0,31.1,10.8,0.0,114.8,124.2,2010,June
PORT COLBORNE (AUT),18.5,25.6,9.3,,,29.6,2010,June
ERIEAU (AUT),19.7,30.2,11.1,,,62.6,2010,June
POINT PELEE CS,18.8,30.5,7.1,,,49.0,2010,June
BRANTFORD MOE,20.7,28.0,12.5,0.0,99.6,35.7,2010,June
DORCHESTER,,,,0.0,105.7,,2010,June
ELORA RCS,16.9,28.1,5.1,,184.1,17.9,2010,June
FERGUS SHAND DAM,17.7,28.0,6.0,0.0,186.8,30.5,2010,June
FERGUS MOE,17.2,28.0,4.0,0.0,181.0,23.6,2010,June
FOLDENS,19.3,28.5,5.0,0.0,118.8,59.1,2010,June
GLEN ALLAN,18.0,28.0,5.5,0.0,180.2,34.7,2010,June
JAMESTOWN,,,,0.0,190.0,,2010,June
KITCHENER/WATERLOO,17.6,28.3,4.0,,130.7,26.8,2010,June
LONDON CS,19.1,29.1,5.5,,132.7,57.5,2010,June
MOUNT FOREST (AUT),16.7,27.8,4.2,,169.2,18.4,2010,June
ROSEVILLE,18.3,28.0,5.0,0.0,127.0,37.2,2010,June
SCOTLAND,19.1,29.5,3.5,0.0,117.6,59.7,2010,June
STRATFORD MOE,17.9,29.0,4.5,0.0,58.5,26.8,2010,June
STRATHROY-MULLIFARRY,19.7,30.0,6.0,0.0,119.4,72.9,2010,June
REGION OF WATERLOO INT'L AIRPORT,17.6,28.3,4.0,,130.7,26.8,2010,June
WOODSTOCK,18.8,28.5,5.0,0.0,40.6,24.4,2010,June
BELLEVILLE,19.8,30.0,10.0,0.0,168.9,67.0,2010,June
BLACKSTOCK,17.9,28.0,6.0,0.0,160.3,31.2,2010,June
BLOOMFIELD,,,,0.0,128.6,,2010,June
BURLINGTON PIERS (AUT),19.3,28.9,11.4,,,53.9,2010,June
CENTREVILLE,18.3,28.5,7.0,0.0,150.6,39.0,2010,June
COBOURG (AUT),17.3,27.0,7.9,,137.4,15.7,2010,June
COBOURG STP,18.0,27.0,6.5,0.0,102.1,19.7,2010,June
GEORGETOWN WWTP,18.0,29.0,4.0,0.0,82.0,26.3,2010,June
HAMILTON A,18.6,28.4,5.7,0.0,157.4,44.8,2010,June
HAMILTON RBG CS,19.1,29.4,6.5,,165.5,55.9,2010,June
KALADAR,18.1,28.0,7.0,0.0,149.4,35.8,2010,June
OAKVILLE TWN,19.8,29.6,6.2,0.0,136.9,68.3,2010,June
ORANGEVILLE MOE,17.3,28.0,3.5,0.0,232.5,24.5,2010,June
OSHAWA,18.0,27.4,7.1,,138.4,31.5,2010,June
OSHAWA WPCP,18.9,28.0,9.0,0.0,176.8,46.6,2010,June
POINT PETRE (AUT),16.8,25.3,9.4,,152.8,7.9,2010,June
RICHMOND HILL,19.1,30.5,8.5,0.0,202.8,53.9,2010,June
SANDHILL,,,,0.0,165.0,,2010,June
STIRLING,,,,0.0,33.4,,2010,June
TORONTO CITY,20.0,30.8,10.0,,157.0,74.0,2010,June
TORONTO CITY CENTRE,19.2,29.7,11.0,,137.6,34.3,2010,June
TORONTO LESTER B. PEARSON INT'L A,19.2,29.9,7.5,0.0,191.6,58.7,2010,June
TORONTO EAST YORK DUSTAN,19.9,30.5,10.0,0.0,182.2,71.7,2010,June
TRENTON A,18.6,28.5,8.5,0.0,151.2,42.7,2010,June
WOOLER,18.8,28.0,8.5,0.0,142.2,44.6,2010,June
MOUNTAINVIEW,18.9,29.5,8.0,0.0,137.2,48.7,2010,June
TORONTO BUTTONVILLE A,18.8,30.3,7.8,0.0,228.6,47.5,2010,June
TORONTO NORTH YORK,19.1,30.0,8.5,0.0,195.7,53.4,2010,June
COE HILL,17.0,27.0,3.5,0.0,96.0,20.5,2010,June
HALIBURTON 3,16.6,26.5,3.5,0.0,157.4,18.0,2010,June
MINDEN,16.9,28.0,3.0,0.0,159.3,22.6,2010,June
PETERBOROUGH AWOS,17.4,28.2,5.3,,176.0,24.6,2010,June
PETERBOROUGH TRENT U,16.9,27.5,-3.0,0.0,153.9,27.7,2010,June
PETERBOROUGH TRENT U,17.7,27.8,7.9,,114.7,24.2,2010,June
SONYA SUNDANCE MEADOWS,,,,0.0,132.8,,2010,June
TAPLEY,,,,0.0,189.8,,2010,June
BANCROFT AUTO,16.0,27.8,1.3,,242.0,10.9,2010,June
BIG TROUT LAKE READAC,14.9,27.5,-0.2,,146.0,9.7,2004,July
EAR FALLS (AUT),17.0,29.2,4.5,,47.2,15.4,2004,July
LANSDOWNE HOUSE (AUT),15.9,28.3,2.1,,147.0,19.1,2004,July
PEAWANUCK (AUT),11.7,30.4,-0.6,,90.2,8.6,2004,July
PICKLE LAKE (AUT),17.0,29.0,4.3,,0.0,30.5,2004,July
PICKLE LAKE A,17.1,29.2,3.9,0.0,60.6,31.6,2004,July
RED LAKE A,17.0,27.8,2.3,0.0,85.0,24.4,2004,July
ATIKOKAN MARMION,18.4,30.0,4.0,0.0,95.2,50.1,2004,July
BARWICK,18.2,31.0,4.0,0.0,166.6,45.8,2004,July
ATIKOKAN (AUT),17.9,30.7,4.0,,85.6,27.4,2004,July
FORT FRANCES A,18.0,31.0,3.0,0.0,79.8,43.5,2004,July
MINE CENTRE,17.8,31.0,1.0,0.0,46.8,39.6,2004,July
STRATTON ROMYN,,,,0.0,167.2,,2004,July
DRYDEN A,18.2,28.9,5.5,0.0,65.2,44.5,2004,July
DRYDEN 'A' (AUT),18.5,28.9,5.5,,58.5,47.6,2004,July
KENORA A,18.7,28.3,8.1,0.0,58.4,53.5,2004,July
RAWSON LAKE,18.2,29.5,7.0,0.0,51.0,44.9,2004,July
SIOUX LOOKOUT A,18.1,29.4,5.3,0.0,111.8,44.3,2004,July
ARMSTRONG (AUT),16.1,29.6,2.3,,,14.5,2004,July
CAMERON FALLS (AUT),16.5,28.7,4.6,,56.2,11.9,2004,July
GERALDTON A,16.5,28.8,3.8,0.0,96.0,19.3,2004,July
FLINT,16.3,32.0,-0.5,0.0,46.8,22.1,2004,July
PUKASKWA (AUT),13.9,26.5,4.1,,40.8,2.3,2004,July
PUKASKWA NATL PARK,14.2,26.5,4.1,,40.4,0.8,2004,July
TERRACE BAY A,14.4,26.2,0.9,0.0,56.5,4.6,2004,July
TERRACE BAY(AUT),13.8,26.1,0.8,,46.2,0.5,2004,July
THUNDER BAY A,16.5,30.2,2.6,,85.5,22.0,2004,July
THUNDER BAY AWOS,16.5,30.2,2.6,,86.0,22.0,2004,July
THUNDER BAY CS,16.6,30.3,2.8,,82.8,22.6,2004,July
TRANQUILLO RIDGE,16.8,32.6,1.7,0.0,58.1,26.2,2004,July
UPSALA (AUT),16.4,30.0,1.0,,62.4,19.5,2004,July
WELCOME ISLAND (AUT),16.8,28.0,9.6,,,15.0,2004,July
WHITEFISH LAKE,15.5,31.0,-0.5,0.0,55.0,13.6,2004,July
KATATOTA ISLAND (AUT),16.2,26.0,8.1,,,7.2,2004,July
ELLIOT LAKE A,17.3,28.2,7.0,0.0,139.9,21.8,2004,July
SAULT STE MARIE A,16.7,28.8,4.3,,100.6,15.4,2004,July
WAWA (AUT),14.7,28.9,2.1,,0.0,2.1,2004,July
WAWA A,14.9,29.0,2.2,0.0,81.6,4.2,2004,July
KILLARNEY (AUT),17.7,25.3,11.6,,,14.5,2004,July
CHAPLEAU A,16.5,29.1,3.3,0.0,65.8,22.1,2004,July
MASSEY,18.4,30.5,4.5,0.0,99.4,40.6,2004,July
MONETVILLE,18.6,30.0,4.0,0.0,172.0,43.4,2004,July
SUDBURY A,18.3,28.8,7.1,0.0,144.4,39.3,2004,July
BONNER LAKE,16.8,30.0,0.0,0.0,45.0,25.6,2004,July
EARLTON A,17.8,31.2,4.5,0.0,159.0,34.7,2004,July
KAPUSKASING A,16.9,29.6,1.8,0.0,45.4,28.4,2004,July
KAPUSKASING CDA ON,16.3,28.2,0.8,,36.8,20.7,2004,July
KIRKLAND LAKE CS,17.5,28.9,4.9,,122.0,33.7,2004,July
MOOSONEE UA,15.5,31.0,4.0,0.0,56.6,28.2,2004,July
MOOSONEE A,15.1,30.4,3.3,,59.0,23.9,2004,July
MOOSONEE RCS,15.3,30.9,4.1,,57.4,23.8,2004,July
NAGAGAMI (AUT),15.9,28.8,0.7,,65.8,15.6,2004,July
TIMMINS VICTOR POWER A,16.6,30.4,0.6,0.0,62.2,27.6,2004,July
DWIGHT,18.0,29.0,4.5,0.0,124.6,30.1,2004,July
NORTH BAY A,18.5,28.6,7.2,0.0,184.6,41.0,2004,July
GORE BAY A,18.2,28.2,8.4,,89.0,32.4,2004,July
GREAT DUCK ISLAND (AUT),16.9,23.4,11.0,,0.0,11.5,2004,July
SANDFIELD,17.7,28.5,6.0,0.0,86.0,26.9,2004,July
ALEXANDRIA,20.0,30.3,6.7,,122.0,70.1,2004,July
ALFRED,19.3,29.5,6.8,,121.8,52.2,2004,July
APPLETON,20.2,30.0,7.5,0.0,57.0,73.5,2004,July
AVONMORE,20.3,30.0,7.0,0.0,198.6,79.2,2004,July
BROCKVILLE PCC,20.6,30.0,9.0,0.0,149.9,83.1,2004,July
CHALK RIVER AECL,19.9,30.0,7.0,0.0,93.1,69.1,2004,July
COMBERMERE,18.9,28.5,6.0,0.0,79.2,39.4,2004,July
CORNWALL,21.7,33.0,11.0,0.0,115.4,116.3,2004,July
CORNWALL,20.8,30.7,9.6,,77.8,60.2,2004,July
DALHOUSIE MILLS,20.4,31.5,6.5,0.0,129.2,79.6,2004,July
DRUMMOND CENTRE,19.8,29.5,7.0,0.0,67.0,61.1,2004,July
GRENADIER ISLAND,20.8,29.5,11.3,,105.2,89.3,2004,July
HARTINGTON IHD,19.8,28.5,8.0,0.0,189.2,62.6,2004,July
KEMPTVILLE CS,20.1,29.5,8.1,,101.8,70.5,2004,July
KINGSTON PUMPING STATION,20.6,28.0,12.0,0.0,133.2,81.5,2004,July
LYNDHURST SHAWMERE,20.5,30.0,11.0,0.0,151.8,78.7,2004,July
MOOSE CREEK WELLS,19.0,29.3,5.1,,128.6,51.3,2004,July
MORRISBURG,20.4,31.0,7.0,0.0,128.6,81.8,2004,July
NORTH GOWER,20.5,30.5,6.5,0.0,107.8,84.8,2004,July
OAK VALLEY,20.4,30.0,8.0,0.0,154.2,80.0,2004,July
OMPAH,18.7,29.0,4.0,0.0,80.6,42.8,2004,July
OMPAH-SEITZ,19.9,29.0,10.0,0.0,128.2,62.2,2004,July
OTTAWA CDA,20.8,29.5,9.0,0.0,65.9,90.3,2004,July
OTTAWA CDA RCS,20.6,29.2,9.1,,55.2,85.5,2004,July
OTTAWA MACDONALD-CARTIER INT'L  A,20.7,30.0,9.9,0.0,65.2,86.5,2004,July
PEMBROKE SE,20.2,30.5,6.0,0.0,101.1,75.5,2004,July
PETAWAWA A,18.8,30.1,4.7,,153.5,43.3,2004,July
RUSSELL,20.5,29.0,7.5,0.0,160.8,82.4,2004,July
ST. ALBERT,20.3,30.0,6.5,0.0,115.0,77.5,2004,July
WINCHESTER,19.5,29.4,7.2,,123.2,56.6,2004,July
PETAWAWA HOFFMAN,19.7,31.0,7.0,0.0,70.4,62.6,2004,July
ALLISTON NELSON,20.3,31.5,9.0,0.0,162.0,78.4,2004,July
BARRIE WPCC,20.3,31.0,9.0,0.0,151.8,76.4,2004,July
BEATRICE 2,18.3,30.0,2.0,0.0,92.8,37.3,2004,July
BEAUSOLEIL,20.0,31.3,9.4,,64.6,72.0,2004,July
CHATSWORTH,18.5,30.0,5.0,0.0,84.2,43.1,2004,July
COLDWATER WARMINSTER,19.4,30.0,8.0,0.0,72.8,59.4,2004,July
COLLINGWOOD,19.6,29.6,10.0,,28.6,63.9,2004,July
COOKSTOWN,18.7,29.0,5.5,0.0,102.4,44.9,2004,July
DUNCHURCH,18.5,30.5,3.5,0.0,80.2,42.5,2004,July
HANOVER,18.8,30.0,6.0,0.0,183.2,48.0,2004,July
LAGOON CITY,19.4,28.1,9.1,,104.0,53.4,2004,July
MIDLAND WATER POLLUTION CONTROL PLANT,20.1,31.0,9.0,0.0,36.0,75.0,2004,July
MUSKOKA A,18.8,30.0,6.4,0.0,98.1,45.2,2004,July
ORILLIA BRAIN,20.1,30.0,8.5,9.8,69.8,72.0,2004,July
OWEN SOUND MOE,18.8,30.5,8.5,0.0,70.5,48.9,2004,July
PARRY SOUND CCG,19.6,29.0,8.5,,42.0,62.0,2004,July
PARRY SOUND HARBOUR,19.6,30.0,8.0,0.0,50.6,61.0,2004,July
PORT LAW,17.5,28.0,4.0,0.0,98.6,24.8,2004,July
POWASSAN,17.2,26.5,4.0,0.0,99.4,17.7,2004,July
PRICEVILLE,,,,0.0,133.7,,2004,July
ROCKLYN,17.9,28.5,5.0,0.0,97.2,34.9,2004,July
SHANTY BAY,19.1,30.0,7.5,0.0,124.8,51.6,2004,July
BARRIE-ORO,18.2,29.7,5.5,,73.8,33.6,2004,July
SPRUCEDALE,,,,0.0,64.8,,2004,July
TROUT CREEK,,,,0.0,91.2,,2004,July
UDORA,19.4,30.0,7.0,0.0,179.6,54.4,2004,July
WALTERS FALLS,18.9,30.0,6.5,0.0,61.5,52.2,2004,July
WIARTON A,18.0,30.4,6.7,0.0,56.5,30.6,2004,July
WILDER LAKE,18.4,29.5,5.5,0.0,107.2,40.7,2004,July
BORDEN AWOS,18.6,31.8,4.6,,,47.8,2004,July
EGBERT CS,19.1,29.8,7.3,,117.8,53.5,2004,July
THORNBURY SLAMA,18.8,31.0,7.5,0.0,48.6,47.9,2004,July
EGBERT CARE,18.8,29.5,6.5,0.0,119.9,47.0,2004,July
BLYTH,18.8,30.0,7.0,0.0,117.0,51.4,2004,July
CYPRUS LAKE CS,17.7,29.2,3.6,,128.8,25.4,2004,July
COVE ISLAND (AUT),17.0,24.9,11.9,,0.2,15.4,2004,July
EXETER,20.1,30.5,10.0,0.0,134.2,72.8,2004,July
GODERICH,18.5,28.7,9.3,,131.8,38.2,2004,July
NAIRN,20.2,31.0,8.0,0.0,59.7,75.7,2004,July
KINCARDINE,19.3,30.5,9.0,0.0,55.2,55.9,2004,July
PETROLIA TOWN,20.8,31.0,11.5,0.0,118.7,91.3,2004,July
SARNIA AIRPORT,20.0,31.3,10.3,0.0,107.0,71.8,2004,July
SOUTHAMPTON 2,18.9,31.5,8.0,0.0,62.4,47.0,2004,July
TARA,18.7,30.0,7.0,0.0,92.0,45.1,2004,July
WROXETER,,,,0.0,107.4,,2004,July
THEDFORD,20.0,31.5,8.0,0.0,133.4,72.9,2004,July
AMHERSTBURG,22.1,31.5,12.0,0.0,110.0,131.8,2004,July
BELLE RIVER,22.1,32.4,15.2,,,119.2,2004,July
CHATHAM WPCP,21.3,31.0,10.0,0.0,97.2,105.7,2004,July
DELHI CS,20.6,30.3,10.0,,74.6,69.2,2004,July
FORT ERIE,20.5,30.0,10.5,0.0,199.4,81.3,2004,July
HAGERSVILLE,20.2,30.0,10.0,0.0,103.0,46.7,2004,July
HARROW CDA AUTO,21.5,30.3,10.0,,69.2,112.2,2004,July
KINGSVILLE MOE,21.5,29.5,13.0,0.0,65.1,112.9,2004,July
NEW GLASGOW,20.1,28.0,10.0,0.0,103.0,69.9,2004,July
NIAGARA FALLS NPCSH,20.8,31.0,13.0,0.0,145.3,87.5,2004,July
PORT COLBORNE,20.9,30.0,12.0,0.0,195.6,90.6,2004,July
PORT WELLER (AUT),20.5,30.4,15.1,,145.0,79.3,2004,July
RIDGETOWN RCS,20.4,29.2,8.0,,81.4,81.1,2004,July
RIDGEVILLE,20.5,30.0,13.0,0.0,130.9,80.8,2004,July
ST CATHARINES POWER GLEN,21.1,32.0,11.0,0.0,135.6,98.8,2004,July
ST THOMAS WPCP,20.4,29.0,9.5,0.0,74.8,77.3,2004,July
SOUTHEAST SHOAL (AUT),21.7,27.2,15.6,,,101.5,2004,July
TILLSONBURG NORTH,20.6,30.0,11.0,0.0,76.3,84.1,2004,July
TILLSONBURG MOE,,,,0.0,67.7,,2004,July
VINELAND,21.1,31.5,14.0,0.0,107.2,98.5,2004,July
VINELAND STATION RCS,20.6,31.6,12.6,,119.8,83.4,2004,July
WATERFORD,,,,0.0,71.6,,2004,July
WELLAND,21.0,30.0,12.5,0.0,207.4,93.1,2004,July
WINDSOR RIVERSIDE,22.4,33.5,12.0,0.0,84.3,138.5,2004,July
WINDSOR A,21.9,31.4,12.7,0.0,92.0,122.4,2004,July
PORT COLBORNE (AUT),19.4,23.2,13.9,,5.6,11.6,2004,July
ERIEAU (AUT),20.4,26.4,14.1,,,77.2,2004,July
POINT PELEE CS,18.1,26.8,9.2,,78.8,30.0,2004,July
BRANTFORD MOE,20.2,30.5,10.5,0.0,87.0,71.8,2004,July
CULLODEN EASEY,20.1,29.0,10.0,0.0,89.0,72.8,2004,July
DORCHESTER,,,,0.0,88.3,,2004,July
ELORA RCS,18.8,28.4,8.4,,94.8,44.5,2004,July
FERGUS SHAND DAM,19.1,28.5,9.5,0.0,138.0,53.5,2004,July
FERGUS MOE,18.8,28.5,8.0,0.0,147.4,45.8,2004,July
FOLDENS,20.0,29.0,10.0,0.0,111.6,72.2,2004,July
GLEN ALLAN,19.4,30.0,8.5,0.0,112.8,57.6,2004,July
GUELPH TURFGRASS CS,17.9,28.7,5.5,,93.4,33.5,2004,July
LONDON CS,20.0,29.7,11.0,,72.2,69.9,2004,July
MOUNT FOREST (AUT),18.2,28.8,7.0,,85.6,35.3,2004,July
ROSEVILLE,19.6,29.0,10.0,0.0,109.5,60.7,2004,July
RUSKVIEW,18.8,29.0,8.0,0.0,97.6,47.5,2004,July
SALEM,18.9,29.5,7.5,0.0,130.8,48.5,2004,July
SCOTLAND,20.2,30.5,9.5,0.0,110.7,75.4,2004,July
STRATFORD MOE,19.8,30.5,9.0,0.0,92.3,65.7,2004,July
STRATHROY-MULLIFARRY,20.4,31.0,9.5,0.0,60.6,80.7,2004,July
REGION OF WATERLOO INT'L AIRPORT,18.9,29.7,7.6,,86.0,49.3,2004,July
WOODSTOCK,20.1,30.5,6.5,0.0,87.2,73.6,2004,July
ALBERTON,20.9,31.0,9.5,0.0,86.8,96.2,2004,July
AURORA NE,,,,0.0,127.8,,2004,July
BELLEVILLE,20.8,28.0,11.5,0.0,253.9,87.9,2004,July
BLACKSTOCK,19.2,27.0,8.5,0.0,135.0,49.9,2004,July
BLOOMFIELD,,,,0.0,127.8,,2004,July
BURLINGTON PIERS (AUT),20.2,29.7,14.6,,,69.8,2004,July
CENTREVILLE,20.2,28.5,8.5,0.0,101.6,71.5,2004,July
COBOURG (AUT),18.9,25.1,9.4,,162.8,41.2,2004,July
COBOURG STP,19.5,27.0,10.0,0.0,156.1,52.6,2004,July
FRENCHMANS BAY,,,,0.0,86.0,,2004,July
GEORGETOWN WWTP,19.7,30.5,7.0,0.0,104.1,62.5,2004,July
HAMILTON A,20.1,29.6,10.8,0.0,131.4,71.6,2004,July
HAMILTON RBG CS,20.4,31.2,9.7,,74.2,83.4,2004,July
JANETVILLE,19.3,28.5,7.0,0.0,234.8,54.4,2004,July
KALADAR,19.8,28.5,7.0,0.0,142.5,62.9,2004,July
MADOC,19.8,28.5,8.5,0.0,177.8,60.9,2004,July
MARSH HILL,18.8,29.5,7.0,0.0,126.5,41.8,2004,July
MILLGROVE,20.1,30.5,8.5,0.0,114.4,75.5,2004,July
ORANGEVILLE MOE,18.5,29.0,6.0,0.0,116.7,41.1,2004,July
WHITBY MUELLER,20.3,28.0,11.0,0.0,109.0,74.4,2004,July
OSHAWA WPCP,20.2,27.5,12.0,0.0,89.9,69.3,2004,July
OAKVILLE GERARD,21.0,32.5,12.0,0.0,80.2,95.4,2004,July
POINT PETRE (AUT),19.5,24.4,10.1,,131.0,47.7,2004,July
PORT PERRY NONQUON,19.5,29.5,8.5,0.0,111.4,56.2,2004,July
RICHMOND HILL,20.6,30.5,10.5,0.0,111.6,83.1,2004,July
SANDHILL,,,,0.0,133.4,,2004,July
SANDFORD SOLETUDE,19.0,30.5,5.0,0.0,115.7,51.6,2004,July
STIRLING,,,,0.0,203.4,,2004,July
THORNHILL GRANDVIEW,,,,0.0,130.8,,2004,July
TORONTO CITY,21.1,29.9,13.2,,70.6,98.3,2004,July
TORONTO ISLAND A,19.9,28.7,11.4,,68.0,64.1,2004,July
TORONTO LESTER B. PEARSON INT'L A,20.7,30.5,11.4,0.0,119.8,86.4,2004,July
TRENTON A,20.0,27.8,9.6,0.0,229.8,64.8,2004,July
WOODBRIDGE,20.4,30.5,10.0,0.0,139.8,78.1,2004,July
WOOLER,19.8,28.5,9.0,0.0,190.8,61.3,2004,July
MOUNTAINVIEW,20.1,28.0,9.5,0.0,173.0,69.7,2004,July
TORONTO BUTTONVILLE A,20.3,30.9,11.0,0.0,108.6,75.6,2004,July
TORONTO NORTH YORK,20.5,30.5,10.5,0.0,149.0,81.2,2004,July
HALIBURTON 3,18.8,29.0,4.5,0.0,131.8,46.2,2004,July
HARTLEY,19.3,29.5,8.0,0.0,113.8,50.6,2004,July
LINDSAY FROST,20.6,30.5,10.5,0.0,138.2,83.0,2004,July
MINDEN,19.2,30.5,5.0,0.0,176.6,49.9,2004,July
PETERBOROUGH A,19.2,28.7,7.9,0.0,249.4,47.7,2004,July
PETERBOROUGH TRENT U,19.3,28.5,9.0,0.0,409.4,47.9,2004,July
SONYA SUNDANCE MEADOWS,,,,0.0,141.0,,2004,July
BANCROFT AUTO,17.9,29.0,3.2,,56.8,26.8,2004,July
WARSAW,,,,0.0,144.0,,2004,July
ATTAWAPISKAT A,15.7,28.8,2.7,,25.9,13.6,2019,August
BIG TROUT LAKE A,15.2,26.6,2.7,,122.4,9.7,2019,August
BIG TROUT LAKE,15.1,27.1,2.2,,151.6,9.8,2019,August
EAR FALLS (AUT),17.2,31.4,4.7,,64.9,27.9,2019,August
FORT SEVERN A,12.7,25.8,3.0,,7.5,0.0,2019,August
LANSDOWNE HOUSE A,15.6,29.2,1.7,,66.5,10.3,2019,August
LANSDOWNE HOUSE (AUT),15.4,28.8,1.4,,55.7,9.1,2019,August
MUSKRAT DAM,15.5,28.6,2.8,,86.5,14.6,2019,August
PEAWANUCK (AUT),13.8,26.6,2.9,,85.7,8.7,2019,August
PEAWANUCK A,13.9,26.7,2.8,,,9.1,2019,August
PICKLE LAKE (AUT),16.5,29.5,3.4,,64.5,22.8,2019,August
PICKLE LAKE A,16.5,29.3,3.0,,0.0,23.4,2019,August
RED LAKE A,16.8,31.6,1.9,,,26.7,2019,August
SANDY LAKE A,15.9,27.7,3.9,,109.6,20.1,2019,August
BARWICK,17.9,31.5,5.0,0.0,122.2,33.9,2019,August
ATIKOKAN (AUT),16.5,29.8,4.4,,138.9,18.9,2019,August
FORT FRANCES RCS,16.7,30.1,4.2,,154.3,22.7,2019,August
