Stn_Name,Tm,Tx,Tn,S,P,CDD,Year,Weather_Month,Fire_Month,Fires_Ontario_Total
ATTAWAPISKAT A,5.8,29.4,-9.3,,62.0,4.2,2021,May,June,332
BIG TROUT LAKE A,5.1,26.6,-9.2,,48.4,0.0,2021,May,June,332
BIG TROUT LAKE,5.2,26.8,-9.4,,48.1,0.0,2021,May,June,332
EAR FALLS (AUT),10.2,27.4,-3.0,,44.4,3.6,2021,May,June,332
FORT SEVERN A,1.5,22.6,-12.1,,44.6,0.0,2021,May,June,332
LANSDOWNE HOUSE A,7.8,30.6,-4.7,,32.6,3.2,2021,May,June,332
LANSDOWNE HOUSE (AUT),7.7,30.9,-4.9,,44.3,3.6,2021,May,June,332
MUSKRAT DAM,6.0,27.6,-6.0,,35.2,0.1,2021,May,June,332
PEAWANUCK (AUT),2.7,28.5,-15.6,,55.2,0.0,2021,May,June,332
PEAWANUCK A,2.7,28.5,-15.4,,55.1,0.0,2021,May,June,332
PICKLE LAKE (AUT),8.8,28.5,-2.4,,77.5,4.1,2021,May,June,332
PICKLE LAKE A,8.5,28.5,-2.5,,1.0,4.1,2021,May,June,332
RED LAKE A,9.4,26.7,-6.8,,,5.4,2021,May,June,332
SANDY LAKE A,6.4,24.0,-6.5,,17.7,0.0,2021,May,June,332
BARWICK,11.8,28.5,-5.5,0.0,24.2,14.2,2021,May,June,332
ATIKOKAN (AUT),10.4,29.2,-4.9,,50.1,9.2,2021,May,June,332
FORT FRANCES RCS,10.8,28.9,-6.0,,23.4,11.6,2021,May,June,332
MINE CENTRE SOUTHWEST,11.1,31.0,-5.0,0.0,46.5,11.3,2021,May,June,332
DRYDEN REGIONAL,11.0,27.5,-2.6,,43.5,7.1,2021,May,June,332
KENORA RCS,11.0,27.7,-1.2,,29.5,7.0,2021,May,June,332
KENORA A,12.0,27.7,-1.4,0.0,38.7,6.5,2021,May,June,332
RAWSON LAKE,8.7,22.5,-2.0,0.0,36.4,0.0,2021,May,June,332
RAWSON LAKE (AUT),10.9,27.8,-1.9,,54.8,6.4,2021,May,June,332
ROYAL ISLAND (AUT),12.5,28.7,1.1,,53.2,9.6,2021,May,June,332
SIOUX LOOKOUT A,9.9,28.7,-5.9,0.0,79.9,4.8,2021,May,June,332
SIOUX LOOKOUT AIRPORT,10.4,28.7,-5.4,,71.0,6.0,2021,May,June,332
ARMSTRONG (AUT),8.5,30.0,-5.5,,59.7,0.0,2021,May,June,332
ARMSTRONG A,8.3,30.1,-4.8,,79.8,0.3,2021,May,June,332
CAMERON FALLS (AUT),8.7,25.4,-2.6,,66.9,0.0,2021,May,June,332
CARIBOU ISLAND (AUT),6.4,15.8,1.5,,15.6,0.0,2021,May,June,332
GERALDTON A,8.8,29.7,-4.0,12.1,77.9,4.0,2021,May,June,332
GERALDTON A,8.8,29.7,-4.0,,,4.0,2021,May,June,332
GERALDTON AIRPORT,8.7,29.1,-4.1,,72.7,3.7,2021,May,June,332
HAZELWOOD,,,,0.0,67.4,,2021,May,June,332
MARATHON A,6.6,19.6,-5.0,,,0.0,2021,May,June,332
PUKASKWA (AUT),7.4,20.2,-3.2,,89.8,0.0,2021,May,June,332
TERRACE BAY AIRPORT,6.5,18.3,-5.8,,80.0,0.0,2021,May,June,332
THUNDER BAY,9.5,29.5,-3.7,,69.7,1.8,2021,May,June,332
THUNDER BAY A,9.4,29.5,-3.7,,,1.8,2021,May,June,332
THUNDER BAY CS,9.3,29.4,-4.6,,68.9,1.3,2021,May,June,332
UPSALA (AUT),9.7,27.1,-5.1,,74.3,5.3,2021,May,June,332
WELCOME ISLAND (AUT),8.4,19.1,1.2,,54.8,0.0,2021,May,June,332
LITTLE FLATLAND ISLAND (AUT),6.9,20.9,-1.4,,56.5,0.0,2021,May,June,332
NORTHERN ONTARIO EER,8.8,24.4,-2.9,,13.4,0.0,2021,May,June,332
LAKE SUPERIOR PROVINCIAL PARK,8.6,25.5,-4.9,,78.0,0.8,2021,May,June,332
SAULT STE MARIE A,9.6,28.3,-5.0,0.0,27.1,7.1,2021,May,June,332
SAULT STE. MARIE AIRPORT,10.2,27.9,-4.1,,25.3,6.5,2021,May,June,332
WAWA A,7.7,23.1,-3.1,,,0.0,2021,May,June,332
KILLARNEY (AUT),10.6,23.8,0.6,,,1.6,2021,May,June,332
CHAPLEAU A,9.1,28.4,-4.7,,,4.8,2021,May,June,332
MASSEY,11.1,28.0,-3.5,0.0,32.2,11.0,2021,May,June,332
MONETVILLE 2,11.5,28.5,-5.0,0.0,26.7,11.3,2021,May,June,332
SUDBURY CLIMATE,10.8,29.0,-5.4,,52.0,13.9,2021,May,June,332
SUDBURY A,11.3,29.2,-4.6,0.0,49.1,14.6,2021,May,June,332
BONNER LAKE,9.7,29.0,-5.5,5.4,62.0,6.1,2021,May,June,332
EARLTON A,10.7,30.3,-7.1,,44.6,13.1,2021,May,June,332
EARLTON CLIMATE,10.8,30.2,-7.3,,42.7,12.6,2021,May,June,332
KAPUSKASING A,9.9,29.9,-2.5,6.0,49.3,9.1,2021,May,June,332
KAPUSKASING A,9.6,29.9,-4.4,,,9.1,2021,May,June,332
KAPUSKASING CDA ON,9.8,30.6,-4.0,,50.2,9.5,2021,May,June,332
KIRKLAND LAKE CS,9.7,27.8,-5.8,,10.3,6.2,2021,May,June,332
MOOSONEE,6.6,29.6,-8.1,,65.4,7.4,2021,May,June,332
MOOSONEE RCS,8.7,28.6,-4.2,,29.1,4.2,2021,May,June,332
NAGAGAMI (AUT),8.7,30.1,-4.2,,59.2,4.3,2021,May,June,332
OGOKI POST A,8.3,31.9,-7.1,,78.6,5.4,2021,May,June,332
TIMMINS CLIMATE,9.6,28.5,-6.3,,71.3,11.2,2021,May,June,332
TIMMINS A,9.5,28.8,-6.7,,,11.5,2021,May,June,332
ALGONQUIN PARK EAST GATE,10.1,30.4,-5.0,,11.8,7.1,2021,May,June,332
NORTH BAY A,10.6,28.8,-8.4,,28.9,11.3,2021,May,June,332
NORTH BAY AIRPORT,10.8,28.9,-7.6,,19.4,11.2,2021,May,June,332
GORE BAY-MANITOULIN,10.8,25.6,-2.7,,39.1,5.1,2021,May,June,332
GORE BAY CLIMATE,10.9,25.5,-2.2,,34.9,4.8,2021,May,June,332
GREAT DUCK ISLAND (AUT),6.3,11.6,-0.1,,,0.0,2021,May,June,332
APPLETON,13.0,32.0,-2.0,0.0,43.2,24.4,2021,May,June,332
BROCKVILLE CLIMATE,12.4,30.4,-0.9,,24.0,15.0,2021,May,June,332
BROCKVILLE PCC,12.9,28.0,-1.0,0.0,23.9,11.6,2021,May,June,332
CHALK RIVER AECL,13.1,30.5,0.0,0.8,20.0,9.8,2021,May,June,332
CORNWALL,13.9,32.0,-0.5,0.0,16.6,26.8,2021,May,June,332
DRUMMOND CENTRE,13.3,32.5,-1.5,0.0,35.4,24.1,2021,May,June,332
GRENADIER ISLAND,13.4,30.0,-0.1,,,16.5,2021,May,June,332
HARTINGTON IHD,13.1,30.0,-1.5,0.0,21.8,19.0,2021,May,June,332
KEMPTVILLE CS,12.9,32.1,-0.9,,12.9,22.3,2021,May,June,332
KINGSTON CLIMATE,11.8,27.2,-0.9,,22.9,6.3,2021,May,June,332
KINGSTON A,11.9,27.4,-0.9,,,7.2,2021,May,June,332
LYNDHURST SHAWMERE,13.4,31.0,-0.5,0.0,36.7,20.8,2021,May,June,332
MOOSE CREEK WELLS,12.6,31.0,-2.3,,6.6,19.8,2021,May,June,332
OMPAH-SEITZ,12.5,31.0,-4.0,0.0,45.0,19.2,2021,May,June,332
OTTAWA CDA,13.7,32.0,-1.0,0.0,14.0,26.4,2021,May,June,332
OTTAWA CDA RCS,13.4,31.6,-0.5,,11.2,22.4,2021,May,June,332
OTTAWA INTL A,13.2,32.4,-1.0,0.0,13.5,24.4,2021,May,June,332
PEMBROKE CLIMATE,11.3,32.2,-3.4,,26.9,12.8,2021,May,June,332
PETAWAWA AWOS 2,12.0,32.1,-1.8,,25.0,16.0,2021,May,June,332
ST. ALBERT,13.1,30.5,-1.5,0.0,22.2,23.7,2021,May,June,332
PETAWAWA HOFFMAN,13.2,33.5,-3.0,0.0,29.8,24.7,2021,May,June,332
BALDWIN,12.2,32.0,-1.5,0.0,35.8,16.9,2021,May,June,332
BARRIE LANDFILL,13.1,31.0,1.0,0.0,15.4,15.5,2021,May,June,332
BEATRICE CLIMATE,10.0,29.8,-4.0,,14.9,9.4,2021,May,June,332
COLDWATER WARMINSTER,12.6,31.0,-2.5,0.0,20.0,23.3,2021,May,June,332
COLLINGWOOD,11.9,30.9,-0.3,,25.4,16.0,2021,May,June,332
LAGOON CITY,11.8,28.2,-0.4,,,12.8,2021,May,June,332
MARKDALE,11.0,30.0,-4.0,9.2,60.2,19.0,2021,May,June,332
MUSKOKA,10.9,31.4,-3.9,,18.2,14.8,2021,May,June,332
ORILLIA BRAIN,12.7,31.0,-2.5,0.0,28.0,20.2,2021,May,June,332
PARRY SOUND CCG,11.4,27.8,-2.6,,28.0,10.6,2021,May,June,332
SHANTY BAY,12.4,31.5,-2.0,0.0,27.8,18.4,2021,May,June,332
BARRIE-ORO,11.1,30.1,-2.7,,24.9,10.1,2021,May,June,332
THORNBURY 3,,,,0.0,30.2,,2021,May,June,332
UDORA,12.3,32.0,-3.5,0.0,31.4,20.4,2021,May,June,332
WIARTON A,10.8,27.4,-2.6,,,13.8,2021,May,June,332
WIARTON A,10.8,27.4,-2.6,0.0,35.8,13.8,2021,May,June,332
BORDEN AWOS,10.9,32.8,-4.6,,53.0,14.1,2021,May,June,332
EGBERT CS,11.7,30.6,-1.6,,43.8,15.3,2021,May,June,332
COVE ISLAND (AUT),5.4,9.7,0.1,,,0.0,2021,May,June,332
GODERICH,11.8,29.3,-2.4,,33.7,18.7,2021,May,June,332
KINCARDINE,14.5,29.0,4.0,0.0,10.4,1.8,2021,May,June,332
SARNIA,13.0,30.7,-1.6,,35.7,24.7,2021,May,June,332
SARNIA CLIMATE,12.9,30.8,-1.4,,39.2,23.9,2021,May,June,332
TOBERMORY RCS,9.9,24.3,-2.0,,52.7,1.2,2021,May,June,332
AMHERSTBURG,15.3,32.5,-1.5,0.0,97.9,43.2,2021,May,June,332
CHATHAM KENT,12.5,30.8,-2.1,,46.3,18.4,2021,May,June,332
DELHI CS,12.5,30.9,-1.6,,36.1,17.8,2021,May,June,332
FORT ERIE,9.8,23.5,2.0,0.0,17.2,0.0,2021,May,June,332
GRIMSBY MOUNTAIN,13.5,32.5,1.5,0.0,32.8,29.7,2021,May,June,332
HARROW CDA AUTO,13.8,30.1,-1.2,,81.5,27.4,2021,May,June,332
KINGSVILLE MOE,14.4,30.5,1.0,0.0,98.2,30.4,2021,May,June,332
NEW GLASGOW,12.8,30.0,-1.0,0.0,41.0,24.5,2021,May,June,332
PORT COLBORNE,12.5,30.0,-1.0,0.0,44.2,14.5,2021,May,June,332
PORT WELLER (AUT),13.2,29.3,3.8,,16.2,8.8,2021,May,June,332
RIDGETOWN RCS,13.0,30.4,-2.1,,46.9,27.4,2021,May,June,332
RIDGEVILLE,13.1,31.0,0.0,0.0,36.8,30.5,2021,May,June,332
ST CATHARINES A,13.2,30.9,1.1,,,20.2,2021,May,June,332
ST THOMAS WPCP,13.1,31.0,-4.5,0.0,39.1,24.0,2021,May,June,332
TILLSONBURG WWTP,,,,0.0,39.5,,2021,May,June,332
VINELAND STATION RCS,13.0,31.7,1.9,,23.8,18.9,2021,May,June,332
WELLAND-PELHAM,12.6,30.5,-1.0,,39.8,16.5,2021,May,June,332
WINDSOR RIVERSIDE,15.8,32.5,-0.5,0.0,52.8,51.0,2021,May,June,332
WINDSOR A,14.3,32.1,-1.7,,47.3,31.8,2021,May,June,332
PORT COLBORNE (AUT),12.3,28.6,1.9,,,8.9,2021,May,June,332
ERIEAU (AUT),12.7,29.7,3.1,,,13.4,2021,May,June,332
POINT PELEE CS,13.1,30.2,-0.5,,63.6,16.8,2021,May,June,332
BRANTFORD AIRPORT,12.6,32.1,-2.0,,24.5,20.9,2021,May,June,332
ELORA RCS,11.2,29.8,-2.4,,22.3,11.0,2021,May,June,332
FERGUS SHAND DAM,12.1,29.0,-1.5,0.0,25.2,14.9,2021,May,June,332
FERGUS MOE,10.8,30.0,-2.0,0.0,20.2,5.5,2021,May,June,332
GUELPH TURFGRASS,11.1,30.0,-2.7,,17.2,9.7,2021,May,June,332
KITCHENER/WATERLOO,11.6,31.5,-2.4,,30.5,13.1,2021,May,June,332
LONDON A,12.6,30.7,-1.1,,,19.8,2021,May,June,332
LONDON CS,12.8,30.1,-1.8,,42.4,23.6,2021,May,June,332
MOUNT FOREST (AUT),11.2,29.2,-2.7,,39.5,15.5,2021,May,June,332
ROSEVILLE,12.7,30.0,-1.0,0.0,30.0,19.9,2021,May,June,332
STRATHROY-MULLIFARRY,12.6,31.0,-3.0,0.0,41.6,27.4,2021,May,June,332
WOODSTOCK,12.0,31.0,-1.5,0.0,13.2,8.3,2021,May,June,332
BELLEVILLE,13.7,30.0,-2.0,0.0,22.4,26.0,2021,May,June,332
BURLINGTON PIERS (AUT),13.2,30.4,3.6,,,16.6,2021,May,June,332
CENTREVILLE,12.7,30.5,-2.0,0.0,15.4,19.6,2021,May,June,332
COBOURG (AUT),11.2,24.8,-0.4,,25.4,0.3,2021,May,June,332
COBOURG STP,12.4,24.0,2.5,0.0,5.9,1.5,2021,May,June,332
GEORGETOWN WWTP,12.3,30.5,-2.0,0.0,29.4,10.8,2021,May,June,332
HAMILTON A,12.5,31.0,-1.3,0.0,34.8,17.9,2021,May,June,332
HAMILTON RBG CS,13.1,31.4,0.9,,29.5,18.6,2021,May,June,332
KING CITY NORTH,12.6,29.9,-1.1,,21.2,21.3,2021,May,June,332
OAKVILLE TWN,14.4,33.5,0.0,0.0,30.2,39.5,2021,May,June,332
OSHAWA,12.3,30.4,-0.7,,20.0,12.5,2021,May,June,332
OSHAWA WPCP,17.1,29.0,2.5,0.0,1.2,6.5,2021,May,June,332
POINT PETRE (AUT),10.6,23.4,0.5,,26.2,0.0,2021,May,June,332
MONO CENTRE,11.6,28.8,-3.4,,37.3,16.3,2021,May,June,332
TORONTO CITY,14.4,30.8,2.0,,20.7,32.4,2021,May,June,332
TORONTO CITY CENTRE,13.1,28.7,2.3,,25.9,14.8,2021,May,June,332
TORONTO BUTTONVILLE A,13.5,31.8,0.3,,,24.1,2021,May,June,332
TORONTO INTL A,13.6,33.3,0.4,0.2,21.8,27.9,2021,May,June,332
TRENTON AWOS,13.5,30.6,-0.9,,21.0,14.6,2021,May,June,332
UXBRIDGE WEST,11.6,30.3,-2.1,,33.6,18.5,2021,May,June,332
TORONTO NORTH YORK,12.9,32.0,0.0,0.2,20.0,19.2,2021,May,June,332
SOUTHERN ONTARIO EMERGENCY PORTABLE WEATHER STATION,20.2,30.9,11.6,,0.2,17.1,2021,May,June,332
HALIBURTON 3,10.4,30.0,-4.5,0.0,26.6,8.9,2021,May,June,332
PETERBOROUGH A,11.5,30.9,-2.3,,14.0,9.1,2021,May,June,332
PETERBOROUGH TRENT U,12.1,32.3,-1.9,,16.4,13.5,2021,May,June,332
SONYA SUNDANCE MEADOWS,,,,5.2,14.8,,2021,May,June,332
TAPLEY,,,,0.0,20.0,,2021,May,June,332
BANCROFT AUTO,10.1,30.9,-4.8,,9.7,6.9,2021,May,June,332
BIG TROUT LAKE READAC,2.0,21.5,-14.8,,38.0,0.0,2009,May,June,140
EAR FALLS (AUT),5.8,18.6,-4.9,,37.7,0.0,2009,May,June,140
FORT SEVERN A,-3.3,16.3,-11.4,,,0.0,2009,May,June,140
LANSDOWNE HOUSE (AUT),3.9,21.5,-8.6,,56.9,0.0,2009,May,June,140
"MUSKRAT DAM 'A', ONTARIO",3.3,21.6,-9.7,,,0.0,2009,May,June,140
PEAWANUCK (AUT),-0.7,16.7,-15.0,,,0.0,2009,May,June,140
PICKLE LAKE (AUT),4.6,20.6,-6.9,,47.3,0.0,2009,May,June,140
PICKLE LAKE A,4.4,20.9,-6.9,54.2,106.0,0.0,2009,May,June,140
RED LAKE A,6.1,20.6,-5.2,30.6,109.8,0.0,2009,May,June,140
SANDY LAKE,4.2,22.0,-9.6,,,0.0,2009,May,June,140
BARWICK,8.8,25.5,-3.0,1.4,60.6,0.0,2009,May,June,140
ATIKOKAN (AUT),7.7,29.4,-4.6,,85.0,0.0,2009,May,June,140
FORT FRANCES RCS,7.7,22.9,-2.9,,53.0,0.0,2009,May,June,140
FORT FRANCES A,8.1,28.0,-4.0,0.0,72.8,0.0,2009,May,June,140
MINE CENTRE SOUTHWEST,7.7,28.5,-6.0,0.4,94.8,0.0,2009,May,June,140
DRYDEN 'A' (AUT),7.2,20.1,-3.8,,119.5,0.0,2009,May,June,140
GRASSY NARROWS,,,,0.0,6.4,,2009,May,June,140
KENORA RCS,7.3,20.7,-5.2,,94.7,0.0,2009,May,June,140
KENORA A,7.5,20.9,-5.1,3.8,105.0,0.0,2009,May,June,140
RAWSON LAKE,7.4,21.0,-4.0,0.0,121.2,0.0,2009,May,June,140
SIOUX LOOKOUT A,6.9,19.8,-3.9,7.6,111.2,0.0,2009,May,June,140
ARMSTRONG (AUT),4.3,19.4,-8.7,,55.6,0.0,2009,May,June,140
CAMERON FALLS (AUT),6.8,22.9,-3.3,,40.5,0.0,2009,May,June,140
GERALDTON A,6.2,25.7,-5.6,4.6,53.1,0.0,2009,May,June,140
FLINT,7.9,30.0,-7.0,1.0,61.9,0.0,2009,May,June,140
PUKASKWA (AUT),5.0,16.3,-2.5,,50.2,0.0,2009,May,June,140
STURGEON RIVER,6.5,20.0,-4.5,2.0,86.8,0.0,2009,May,June,140
THUNDER BAY AWOS,7.7,31.1,-3.9,,49.5,0.0,2009,May,June,140
THUNDER BAY BURWOOD,8.2,25.5,-4.0,0.0,37.3,0.0,2009,May,June,140
THUNDER BAY CS,7.7,31.1,-3.8,,42.7,0.0,2009,May,June,140
UPSALA (AUT),6.6,29.0,-4.1,,117.4,0.0,2009,May,June,140
WELCOME ISLAND (AUT),6.4,18.2,-1.3,,16.0,0.0,2009,May,June,140
LITTLE FLATLAND ISLAND (AUT),4.6,15.6,-3.4,,40.6,0.0,2009,May,June,140
ELLIOT LAKE A,9.4,25.5,-2.0,0.0,100.0,0.0,2009,May,June,140
SAULT STE MARIE A,8.4,26.2,-3.5,,89.8,0.0,2009,May,June,140
WAWA A,6.4,27.0,-4.4,4.8,101.4,0.0,2009,May,June,140
KILLARNEY (AUT),8.8,21.3,1.0,,72.8,0.0,2009,May,June,140
CHAPLEAU A,7.8,27.9,-5.2,2.8,100.8,0.0,2009,May,June,140
MASSEY,9.9,24.0,-3.5,0.0,98.2,1.8,2009,May,June,140
MONETVILLE,10.4,24.0,-5.0,0.0,93.4,0.8,2009,May,June,140
SUDBURY A,9.5,25.8,-1.2,3.0,87.6,0.6,2009,May,June,140
BONNER LAKE,6.3,22.0,-6.0,6.6,73.5,0.0,2009,May,June,140
EARLTON AWOS,8.5,27.1,-3.7,,86.5,0.0,2009,May,June,140
EARLTON CLIMATE,8.4,27.1,-4.3,,85.2,0.0,2009,May,June,140
KAPUSKASING A,6.8,21.5,-5.9,16.6,78.5,0.0,2009,May,June,140
KAPUSKASING CDA ON,6.2,19.9,-5.5,,91.6,0.0,2009,May,June,140
KIRKLAND LAKE CS,6.7,20.3,-4.2,,,0.0,2009,May,June,140
MOOSONEE UA,4.7,22.5,-6.5,5.0,48.0,0.0,2009,May,June,140
MOOSONEE AWOS,4.5,21.9,-6.8,,95.5,0.0,2009,May,June,140
MOOSONEE RCS,4.6,22.3,-6.4,,,0.0,2009,May,June,140
NAGAGAMI (AUT),6.3,23.3,-6.4,,100.9,0.0,2009,May,June,140
TIMMINS CLIMATE,7.1,22.9,-5.6,,78.8,0.0,2009,May,June,140
TIMMINS VICTOR POWER A,7.5,22.6,-4.8,4.2,84.2,0.0,2009,May,June,140
ALGONQUIN PARK EAST GATE,9.3,28.0,-4.8,,73.8,1.3,2009,May,June,140
NORTH BAY A,9.7,24.4,-1.7,8.4,119.6,0.0,2009,May,June,140
GORE BAY  AWOS,9.5,24.2,-2.4,,58.5,0.0,2009,May,June,140
SANDFIELD,9.2,23.0,-3.5,0.0,102.6,0.0,2009,May,June,140
APPLETON,13.8,21.0,5.0,0.0,15.2,0.0,2009,May,June,140
BROCKVILLE CLIMATE,12.2,27.2,0.0,,77.3,1.9,2009,May,June,140
BROCKVILLE PCC,12.8,27.0,2.0,0.0,113.0,0.0,2009,May,June,140
CHALK RIVER AECL,12.8,31.0,-1.5,0.0,44.2,2.5,2009,May,June,140
COMBERMERE,10.4,29.0,-3.0,0.0,94.3,0.0,2009,May,June,140
CORNWALL,13.5,29.0,3.0,0.0,105.1,3.3,2009,May,June,140
DRUMMOND CENTRE,12.7,29.5,-0.5,0.0,69.4,1.8,2009,May,June,140
GRENADIER ISLAND,13.0,26.1,2.6,,,1.3,2009,May,June,140
HARTINGTON IHD,12.7,26.0,1.5,0.0,84.0,0.0,2009,May,June,140
KEMPTVILLE CS,11.9,21.9,-0.4,,84.0,0.0,2009,May,June,140
KINGSTON CLIMATE,11.5,24.7,1.2,,99.3,0.0,2009,May,June,140
LYNDHURST SHAWMERE,12.7,27.0,1.5,0.0,69.6,1.5,2009,May,June,140
OAK VALLEY,12.8,28.0,0.0,0.0,90.9,4.0,2009,May,June,140
OMPAH,10.4,24.0,-3.5,0.0,55.8,0.0,2009,May,June,140
OMPAH-SEITZ,12.0,29.0,-0.5,0.0,86.4,2.0,2009,May,June,140
OTTAWA CDA,12.7,29.0,1.5,0.0,82.9,1.6,2009,May,June,140
OTTAWA CDA RCS,12.0,24.5,1.5,,66.9,0.0,2009,May,June,140
OTTAWA MACDONALD-CARTIER INT'L A,12.2,29.3,-0.4,0.0,84.2,3.2,2009,May,June,140
PETAWAWA AWOS 2,10.4,30.7,-4.8,,68.5,0.8,2009,May,June,140
RUSSELL,13.0,28.5,1.0,0.0,86.6,3.8,2009,May,June,140
ST. ALBERT,12.4,28.0,0.0,0.0,105.4,3.0,2009,May,June,140
PETAWAWA HOFFMAN,12.0,32.0,-2.0,0.0,63.6,3.0,2009,May,June,140
BALACLAVA,,,,0.0,73.8,,2009,May,June,140
BALDWIN,12.4,29.5,-3.0,0.0,96.2,3.6,2009,May,June,140
BARRIE WPCC,12.1,29.0,-3.0,0.0,52.8,0.0,2009,May,June,140
BEATRICE CLIMATE,9.6,26.9,-4.5,,99.5,0.0,2009,May,June,140
BURK'S FALLS,,,,0.0,49.6,,2009,May,June,140
CHATSWORTH,11.1,28.0,-3.5,0.0,84.4,3.0,2009,May,June,140
COLDWATER WARMINSTER,12.2,28.5,-0.5,0.0,63.8,5.8,2009,May,June,140
COLLINGWOOD,10.5,20.5,-0.1,,51.6,0.0,2009,May,June,140
DUNCHURCH,10.3,26.0,-5.5,0.4,80.0,2.3,2009,May,June,140
LAGOON CITY,11.8,20.7,1.6,,65.4,0.0,2009,May,June,140
MARKDALE,10.9,26.0,-3.5,0.0,104.6,2.8,2009,May,June,140
MIDLAND WATER POLLUTION CONTROL PLANT,12.8,28.0,0.0,0.0,25.2,4.8,2009,May,June,140
MUSKOKA AWOS,10.5,28.6,-4.3,,85.0,0.0,2009,May,June,140
NIPISSING,,,,0.8,77.0,,2009,May,June,140
ORILLIA BRAIN,12.3,29.5,-1.0,0.2,58.8,4.0,2009,May,June,140
PARRY SOUND CCG,10.7,25.5,-0.9,,58.1,0.6,2009,May,June,140
PARRY SOUND HARBOUR,11.3,27.0,-1.0,0.0,49.8,1.5,2009,May,June,140
PORT LAW,10.1,26.0,-5.0,0.0,102.2,1.8,2009,May,June,140
POWASSAN,11.0,28.0,-3.0,5.0,72.4,4.0,2009,May,June,140
PRICEVILLE,,,,0.0,111.1,,2009,May,June,140
RAVENSCLIFFE,11.3,28.0,-4.0,0.0,90.0,1.3,2009,May,June,140
SHANTY BAY,12.3,29.0,-1.0,0.0,78.7,5.3,2009,May,June,140
BARRIE-ORO,10.6,28.2,-3.5,,62.2,2.8,2009,May,June,140
SPRUCEDALE,,,,0.0,79.2,,2009,May,June,140
THORNBURY 3,,,,0.0,82.9,,2009,May,June,140
UDORA,12.2,29.0,-3.0,0.0,96.2,4.8,2009,May,June,140
WIARTON A,10.3,26.7,-2.0,0.0,61.2,0.3,2009,May,June,140
BORDEN AWOS,10.7,29.9,-4.8,,,4.5,2009,May,June,140
EGBERT CS,11.2,27.8,-2.0,,89.2,4.1,2009,May,June,140
BLYTH,,,,0.0,134.5,,2009,May,June,140
GODERICH,11.5,25.3,-1.5,,82.8,2.0,2009,May,June,140
NAIRN,13.7,28.0,-4.0,0.0,56.2,7.9,2009,May,June,140
KINCARDINE,11.8,27.0,-1.5,0.0,66.6,5.1,2009,May,June,140
PETROLIA ROKEBY,14.0,28.0,-2.0,0.0,62.2,7.7,2009,May,June,140
SARNIA CHRIS HADFIELD A,12.6,28.4,-0.5,,56.5,1.5,2009,May,June,140
SARNIA CLIMATE,12.7,28.5,-0.2,,57.9,2.2,2009,May,June,140
SOUTHAMPTON 2,11.6,28.0,-2.0,0.0,69.4,4.8,2009,May,June,140
TARA,11.6,27.0,-2.0,0.0,77.0,2.0,2009,May,June,140
TOBERMORY RCS,8.8,19.9,-1.9,,56.7,0.0,2009,May,June,140
THEDFORD,13.4,29.0,-1.0,0.0,57.1,8.3,2009,May,June,140
AMHERSTBURG,15.5,28.5,0.5,0.0,30.0,9.5,2009,May,June,140
BLENHEIM 1,14.2,26.0,1.5,0.0,24.0,1.8,2009,May,June,140
CHATHAM WPCP,15.4,28.0,2.0,0.0,29.9,7.8,2009,May,June,140
DELHI CS,12.7,26.6,-2.1,,37.9,2.0,2009,May,June,140
FORT ERIE,13.1,26.5,-1.5,0.0,54.9,4.3,2009,May,June,140
GRIMSBY MOUNTAIN,13.7,28.4,0.2,0.0,61.3,7.2,2009,May,June,140
HARROW CDA AUTO,14.4,27.7,-0.1,,14.2,6.5,2009,May,June,140
KINGSVILLE MOE,14.8,26.0,2.5,0.0,13.6,7.1,2009,May,June,140
LONG POINT (AUT),12.5,22.0,5.0,,,0.0,2009,May,June,140
MORPETH,,,,0.0,2.6,,2009,May,June,140
NEW GLASGOW,13.3,25.5,-1.5,0.0,76.0,0.8,2009,May,June,140
NIAGARA FALLS NPCSH,16.9,29.0,3.2,0.0,0.0,6.0,2009,May,June,140
PORT COLBORNE,14.0,26.0,1.5,0.0,57.7,5.8,2009,May,June,140
PORT WELLER (AUT),12.0,23.5,4.4,,42.6,0.0,2009,May,June,140
RIDGETOWN RCS,13.0,26.9,-1.9,,48.5,4.1,2009,May,June,140
ST THOMAS WPCP,14.4,25.5,3.0,0.0,33.2,2.6,2009,May,June,140
TILLSONBURG NORTH,13.6,27.0,-2.5,0.0,64.3,4.0,2009,May,June,140
TILLSONBURG MOE,,,,0.0,58.9,,2009,May,June,140
VINELAND,14.0,28.0,2.0,0.0,51.0,7.2,2009,May,June,140
VINELAND STATION RCS,12.7,27.7,1.5,,44.0,0.0,2009,May,June,140
WATERFORD,,,,0.0,48.2,,2009,May,June,140
WELLAND,14.3,25.5,-1.5,0.0,65.6,3.8,2009,May,June,140
WELLAND-PELHAM,12.8,26.1,-1.4,,42.2,1.8,2009,May,June,140
WINDSOR RIVERSIDE,15.7,30.0,1.0,0.0,56.4,12.9,2009,May,June,140
WINDSOR A,16.0,30.5,4.0,0.0,69.4,14.8,2009,May,June,140
ERIEAU (AUT),12.4,22.2,4.9,,,0.0,2009,May,June,140
POINT PELEE CS,12.1,26.0,-0.9,,,3.9,2009,May,June,140
BRANTFORD MOE,12.5,26.5,-1.0,0.0,64.6,1.5,2009,May,June,140
DORCHESTER,,,,0.0,138.2,,2009,May,June,140
