Stn_Name,Tm,Tx,Tn,S,P,CDD,Year,Month
GREEN ISLAND,9.9,16.5,5.0,0.0,338.8,0.0,2025,May
GREY ISLET (AUT),9.7,15.7,5.9,,246.4,0.0,2025,May
HERBERT ISLAND (AUT),10.4,18.3,6.1,,103.4,0.0,2025,May
HOLLAND ROCK,9.3,13.3,5.4,,185.2,0.0,2025,May
IVORY ISLAND,10.6,17.5,5.5,0.0,299.8,0.0,2025,May
KEMANO,10.5,23.5,2.0,0.0,117.6,0.0,2025,May
KITIMAT FOREST AVE,9.7,21.8,2.9,,167.1,0.0,2025,May
LUCY ISLAND LIGHTSTATION,9.1,13.0,5.5,,,0.0,2025,May
MCINNES ISLAND,10.2,15.0,6.0,0.0,275.0,0.0,2025,May
PRINCE RUPERT,9.3,14.6,2.8,,289.2,0.0,2025,May
PRINCE RUPERT MONT CIRC,,,,0.0,243.2,,2025,May
STEWART A,10.2,20.8,3.4,,,0.0,2025,May
TERRACE PCC,11.0,23.0,3.0,0.0,47.6,0.0,2025,May
TERRACE A,9.7,21.6,1.7,0.0,83.4,0.0,2025,May
HOUSTON,11.1,27.0,0.0,0.0,1.2,0.0,2025,May
SMITHERS,9.2,25.4,-2.5,,11.1,0.0,2025,May
SMITHERS AIRPORT AUTO,9.4,25.2,-1.2,,11.0,0.0,2025,May
SUSKWA VALLEY,9.1,25.0,-3.0,0.0,26.6,0.0,2025,May
OOTSA LAKESKINS LAKE CLIMATE,7.2,22.8,-1.3,,22.7,0.0,2025,May
PEMBERTON AIRPORT (WIND),13.5,32.7,1.3,,,1.6,2025,May
PEMBERTON AIRPORT CS,14.0,34.2,1.6,,33.4,2.5,2025,May
PUNTZI MOUNTAIN (AUT),8.3,28.2,-5.3,,17.1,0.0,2025,May
TATLAYOKO LAKE RCS,8.2,27.0,-5.6,,23.8,0.0,2025,May
BARKERVILLE,6.7,28.0,-8.0,6.0,77.0,0.0,2025,May
BURNS LAKE DECKER LAKE,7.3,25.1,-6.7,,38.1,0.0,2025,May
FORT ST JAMES AUTO,10.0,26.3,-1.6,,22.4,0.0,2025,May
FORT ST JAMES GOLF CLUB,9.6,27.6,-1.4,,25.7,0.0,2025,May
MCLEESE LAKE GRANITE MT,11.1,27.0,-3.0,0.0,13.6,0.0,2025,May
PRINCE GEORGE,9.8,29.3,-3.5,,48.7,0.0,2025,May
PRINCE GEORGE AIRPORT AUTO,9.8,29.2,-2.9,,46.2,0.0,2025,May
PRINCE GEORGE MASSEY AUTO,12.0,30.5,0.3,,29.3,2.4,2025,May
QUESNEL,11.2,31.8,-3.8,,47.9,0.9,2025,May
QUESNEL AIRPORT AUTO,11.3,31.9,-3.7,,46.1,1.0,2025,May
SPOKIN LAKE 4E,8.6,28.5,-7.0,0.0,64.8,0.0,2025,May
WILLIAMS LAKE A,10.5,28.7,-1.9,0.0,58.8,0.7,2025,May
ABBOTSFORD A,13.3,28.6,3.5,0.0,74.4,1.4,2025,May
ABBOTSFORD A,13.3,28.6,3.5,,,1.4,2025,May
AGASSIZ RCS,13.9,30.5,4.1,,56.7,4.6,2025,May
WHISTLER - NESTERS,10.5,29.0,-1.4,,35.7,0.0,2025,May
VANCOUVER BOUNDARY BAY,13.0,27.0,3.2,,,0.1,2025,May
CALLAGHAN VALLEY,8.7,26.2,-2.1,,41.1,0.0,2025,May
CHILLIWACK SOUTH,14.8,32.0,4.5,0.0,60.8,5.3,2025,May
CLOVERDALE EAST,14.1,28.5,4.5,0.0,71.4,2.0,2025,May
CULTUS LAKE,13.6,31.3,3.8,,74.0,4.4,2025,May
DELTA BURNS BOG,13.2,28.5,2.8,,49.9,0.6,2025,May
DELTA TSAWWASSEN BEACH,14.7,25.0,9.0,0.0,73.0,3.5,2025,May
FORT LANGLEY TELEGRAPH TRAIL,13.8,29.5,4.0,0.0,71.6,2.5,2025,May
HANEY UBC RF ADMIN,13.2,29.5,4.0,0.0,104.4,2.0,2025,May
LANGLEY REGIONAL,13.1,29.3,1.7,,,0.9,2025,May
MISSION WEST ABBEY,13.5,29.5,5.0,0.0,90.4,4.8,2025,May
N VANC GROUSE MTN RESORT,7.3,22.0,0.0,0.0,125.4,0.3,2025,May
N VANCOUVER WHARVES,,,,0.0,73.0,,2025,May
PITT MEADOWS CS,14.3,29.8,4.7,,71.1,2.9,2025,May
PITT MEADOWS,13.6,29.6,2.4,,,1.8,2025,May
POINT ATKINSON,13.8,24.6,7.5,,60.5,1.3,2025,May
RICHMOND DALLYN 2,,,,0.0,66.0,,2025,May
PORT MOODY GLENAYRE,13.9,29.0,5.5,0.0,122.0,3.8,2025,May
SANDHEADS CS,13.3,22.0,8.8,,,0.2,2025,May
SUMAS CANAL,14.8,31.0,6.5,0.0,81.0,2.5,2025,May
VANCOUVER SEA ISLAND CCG,13.5,27.4,5.9,,44.8,2.0,2025,May
VANCOUVER INTL A,13.5,27.9,5.2,0.0,57.4,1.3,2025,May
VANCOUVER HARBOUR CS,14.3,28.4,5.7,,60.2,2.1,2025,May
WEST VANCOUVER AUT,13.5,29.2,5.2,,96.2,3.6,2025,May
WHISTLER ROUNDHOUSE,3.3,14.5,-3.0,18.0,84.0,0.0,2025,May
WHITE ROCK CAMPBELL SCIENTIFIC,13.3,26.1,5.6,,54.2,0.7,2025,May
VANCOUVER HARBOUR,13.9,28.8,6.2,,,3.8,2025,May
HOPE A,14.1,30.9,5.1,,89.5,4.0,2025,May
HOPE AIRPORT,13.9,30.5,5.2,,85.0,3.8,2025,May
HOPE SLIDE,10.5,30.0,0.0,0.0,44.4,1.0,2025,May
LILLOOET,15.6,29.0,4.1,,18.8,4.2,2025,May
LYTTON A,16.2,35.2,5.3,,2.6,19.9,2025,May
LYTTON RCS,16.5,29.2,5.2,,2.6,15.0,2025,May
JELLICOE,11.2,31.5,-3.0,0.0,23.8,0.8,2025,May
KELOWNA,13.6,31.5,-2.5,,31.2,4.6,2025,May
KELOWNA UBCO,14.9,31.7,1.5,,26.2,10.0,2025,May
MERRITT,12.8,34.0,-4.1,,11.4,3.1,2025,May
MERRITT STP,12.3,27.0,-2.5,0.0,0.8,0.0,2025,May
OLIVER STP,16.9,32.5,2.5,0.0,10.0,13.2,2025,May
OSOYOOS CS,16.3,31.5,1.6,,12.2,22.3,2025,May
PEACHLAND,15.5,30.5,4.0,0.0,24.0,15.2,2025,May
PENTICTON A,14.5,30.7,0.7,0.0,57.5,8.0,2025,May
PRINCETON A,12.7,33.5,-3.5,0.0,11.6,2.6,2025,May
PRINCETON A,12.5,33.6,-3.4,,,2.3,2025,May
VERNON AUTO,14.4,30.6,1.4,,29.6,9.0,2025,May
VERNON SILVER STAR LODGE,7.7,24.5,-2.0,0.6,82.4,0.5,2025,May
PRINCETON CS,12.7,34.3,-3.0,,10.6,2.8,2025,May
SUMMERLAND CS,14.7,31.1,2.4,,22.9,8.9,2025,May
BILLINGS,13.8,31.5,1.0,0.0,62.0,5.1,2025,May
CASTLEGAR A,14.1,33.0,-1.0,0.0,37.6,10.4,2025,May
CASTLEGAR BCHPA DAM,13.9,32.0,3.5,0.0,58.4,2.5,2025,May
CASTLEGAR A,14.1,33.1,-1.1,,,9.1,2025,May
DUNCAN LAKE DAM,12.6,30.0,-1.0,0.0,36.2,1.1,2025,May
LISTER,13.1,32.0,-0.5,0.0,41.0,5.6,2025,May
NAKUSP CS,12.7,30.3,-0.6,,63.9,2.9,2025,May
NEW DENVER,14.1,32.0,0.5,0.0,46.2,7.0,2025,May
NELSON CS,14.0,30.7,1.5,,38.3,4.8,2025,May
WARFIELD RCS,13.6,31.4,0.3,,43.8,4.9,2025,May
CRESTON CAMPBELL SCIENTIFIC,15.2,32.6,3.0,,23.8,15.4,2025,May
NELSON RIXEN CREEK,13.1,30.0,-0.5,0.0,55.0,4.6,2025,May
CRANBROOK A,12.2,30.5,-1.0,0.0,0.0,4.4,2025,May
CRANBROOK AIRPORT AUTO,12.1,31.5,-1.8,,25.7,5.5,2025,May
FERNIE,12.5,31.0,-2.0,0.0,61.4,1.3,2025,May
FT STEELE DANDY CRK,11.5,29.5,-2.0,0.0,58.0,0.8,2025,May
KIMBERLEY PCC,12.1,29.0,-2.5,0.0,27.6,3.8,2025,May
SPARWOOD CS,10.9,28.5,-2.8,,17.2,0.0,2025,May
SPARWOOD A,11.3,28.4,-3.0,,,0.0,2025,May
ASHCROFT,16.8,35.9,3.4,,25.6,25.1,2025,May
BLUE RIVER A,11.2,29.0,-4.0,0.0,101.2,0.0,2025,May
