Year,Weather_Month,Fire_Month,Fires_Ontario_Total,Tm,Tx,Tn,S,P,CDD,Weather_Month_Num
2015,May,June,132,12.867065868263474,27.96646706586826,-1.5634730538922157,0.5209302325581396,66.32547770700637,14.974251497005987,5
2016,July,August,113,20.451265822784812,32.28395061728395,8.387341772151899,0.0,63.166,85.11582278481012,7
2016,June,July,147,16.647590361445783,30.920481927710846,3.7493975903614456,0.0,57.36038961038961,30.787951807228918,6
2016,May,June,141,12.236363636363636,29.60060606060606,-1.6036363636363637,0.27848101265822783,40.77337662337663,15.362424242424243,5
2017,July,August,369,19.200641025641026,29.69375,9.084615384615384,0.0,76.43040540540541,54.28589743589744,7
2017,June,July,230,16.697419354838708,29.48805031446541,4.755483870967742,0.0,110.56824324324324,30.668387096774197,6
2017,May,June,40,10.505095541401273,26.619875776397517,-2.0694267515923563,1.4157894736842105,109.84933333333335,4.240127388535032,5
2018,July,August,300,20.89936305732484,32.53913043478261,8.922292993630572,0.0,66.73611111111111,93.74777070063693,7
2018,June,July,524,17.019871794871793,31.077499999999997,5.042948717948718,0.028169014084507043,56.74791666666667,31.614743589743586,6
2018,May,June,245,13.390384615384615,29.905,-1.0025641025641026,0.03428571428571429,60.142361111111114,18.527564102564103,5
2019,July,August,193,20.451445086705203,31.493641618497108,8.770520231213872,0.0,70.00068965517242,87.1300578034682,7
2019,June,July,152,15.66022727272727,29.27840909090909,2.8329545454545455,0.0,77.1635761589404,19.282954545454547,6
2019,May,June,103,9.433142857142856,23.594857142857144,-1.4874285714285715,1.098529411764706,80.59803921568627,0.7137142857142857,5
2020,July,August,115,21.861403508771932,33.48953488372093,11.282456140350877,0.0,68.25503355704699,118.83216374269006,7
2020,June,July,303,17.2757225433526,31.44712643678161,3.0167630057803465,0.1375,68.11118421052632,46.64739884393064,6
2020,May,June,70,10.18421052631579,29.925,-5.5625730994152045,3.19375,47.60337837837838,14.905847953216375,5
2021,July,August,123,19.161176470588234,31.014705882352942,7.669411764705882,0.0,98.09225806451613,58.90941176470589,7
2021,June,July,572,18.351744186046513,31.384302325581398,4.58953488372093,0.0,80.2685534591195,54.67325581395348,6
2021,May,June,332,11.041142857142857,28.916,-2.555428571428571,0.6306451612903226,37.22767295597484,12.405714285714286,5
2022,July,August,63,19.253333333333334,30.994545454545456,7.72969696969697,0.05263157894736842,73.12875816993464,60.86,7
2022,June,July,63,16.523170731707317,31.346341463414635,4.310975609756097,0.0,78.19735099337748,29.178658536585367,6
2022,May,June,32,12.602409638554217,28.494578313253015,-1.116867469879518,0.0,69.99934640522875,14.346987951807229,5
