Year,Weather_Month,Fire_Month,Fires_Ontario_Total,Tm,Tx,Tn,S,P,CDD,Weather_Month_Num
2000,July,August,156,18.492735042735042,28.694871794871798,7.038034188034189,0.0,89.92908366533865,44.30384615384615,7
2000,June,July,117,16.20084745762712,28.928813559322034,4.036864406779661,0.03238095238095238,152.0913725490196,26.958050847457628,6
2000,May,June,44,12.541596638655463,27.82857142857143,-0.5205882352941177,0.2625592417061612,114.50823529411764,10.754621848739495,5
2001,July,August,666,19.103734439834025,32.30705394190871,5.506639004149378,0.06435643564356436,44.254183266932266,67.00539419087137,7
2001,June,July,373,17.671966527196656,31.778242677824267,4.187029288702929,0.0,71.98755020080321,50.368619246861925,6
2001,May,June,267,13.240343347639485,27.72489270386266,-0.3982832618025751,0.18974358974358974,87.71563786008231,5.539055793991416,5
2002,July,August,212,21.319909502262444,33.089592760181,8.19185520361991,0.0,70.5288209606987,113.54117647058823,7
2002,June,July,536,17.248648648648647,30.905405405405407,3.3252252252252252,0.0022099447513812156,94.76200873362446,45.531531531531535,6
2002,May,June,85,9.306756756756757,26.40990990990991,-2.6328828828828827,2.4505494505494507,95.37489177489176,4.244144144144144,5
2003,July,August,204,19.487264150943396,30.408962264150944,8.652358490566037,0.0,82.48392857142858,62.471698113207545,7
2003,June,July,133,16.743192488262913,31.63802816901408,3.1680751173708916,0.0,71.20807174887892,30.991079812206575,6
2003,May,June,288,11.356279069767442,24.753953488372094,-1.2893023255813953,0.003468208092485549,98.05333333333333,0.14325581395348838,5
2004,July,August,99,18.95962441314554,29.501408450704226,7.466666666666667,0.061250000000000006,105.18636363636364,54.929577464788736,7
2004,June,July,101,15.51256038647343,29.079710144927535,3.370531400966184,0.001282051282051282,66.03504672897196,19.705314009661837,6
2004,May,June,79,11.000938967136149,27.001408450704226,-3.1572769953051645,1.8366459627329192,122.58264840182648,6.841784037558686,5
2005,July,August,708,21.10967741935484,33.82258064516129,7.646794871794873,0.0,71.78301886792453,112.34967741935485,7
2005,June,July,602,19.62484076433121,32.45923566878981,6.579113924050633,0.0,71.845625,82.77261146496815,6
2005,May,June,194,10.431012658227848,25.91962025316456,-2.8898734177215193,1.12,39.38427672955975,0.6740506329113924,5
2006,July,August,503,21.136893203883496,32.69077669902913,9.090384615384615,0.005095541401273886,103.25739910313902,106.23106796116504,7
2006,June,July,597,17.571770334928228,30.483253588516746,5.065071770334928,0.0,65.16755555555555,36.429186602870814,6
2006,May,June,273,12.76777251184834,31.20189573459716,-2.032701421800948,0.5528301886792453,78.13700440528633,15.977725118483413,5
2007,July,August,423,19.161979166666665,31.900000000000002,6.863541666666666,0.0,74.92216748768473,58.817187499999996,7
2007,June,July,201,18.036923076923078,32.144615384615385,3.4758974358974357,0.028767123287671233,57.76153846153846,52.355384615384615,6
2007,May,June,92,12.478061224489794,29.601530612244897,-1.3285714285714285,0.2193103448275862,55.50576923076923,11.818877551020408,5
2008,July,August,132,19.48723404255319,29.548936170212766,8.26808510638298,0.0,104.4238578680203,60.09202127659574,7
2008,June,July,35,17.4375,29.9875,6.129891304347827,0.0,113.98717948717949,38.776630434782604,6
2008,May,June,34,9.748648648648649,24.38108108108108,-2.210810810810811,0.9213235294117647,84.1497435897436,0.772972972972973,5
2009,July,August,20,17.321739130434782,26.917934782608693,7.1499999999999995,0.0,94.48842105263158,22.856521739130436,7
2009,June,July,42,15.919444444444444,30.526666666666667,2.272222222222222,0.07619047619047618,73.18031914893616,26.843888888888888,6
2009,May,June,140,10.626775956284153,25.69071038251366,-2.0497267759562843,1.2821705426356589,77.12910052910053,1.8950819672131147,5
2010,July,August,80,21.068681318681318,32.159890109890114,7.7324175824175825,0.0,90.22857142857141,97.05989010989012,7
2010,June,July,166,16.99281767955801,28.08121546961326,5.137016574585635,0.0,119.64673913043478,28.829281767955802,6
2010,May,June,83,13.734463276836157,31.016949152542374,-2.451412429378531,1.0551724137931036,75.66201117318435,23.501694915254237,5
2011,July,August,401,21.493023255813956,33.516860465116274,9.004022988505747,0.0,63.732022471910106,107.55,7
2011,June,July,398,17.065714285714286,30.032000000000004,4.417613636363637,0.03185840707964602,72.27191011235955,27.581142857142858,6
2011,May,June,129,12.236871508379888,28.955307262569832,-0.6727777777777778,0.10350877192982455,89.85810055865922,8.50391061452514,5
2012,July,August,181,21.550857142857144,33.658522727272725,10.053977272727273,0.0,61.666666666666664,106.37657142857144,7
2012,June,July,710,18.43720930232558,31.741040462427744,5.772093023255814,0.0,78.23409090909091,54.7389534883721,6
2012,May,June,125,13.868208092485547,30.120231213872835,0.17816091954022992,0.1890909090909091,57.29717514124294,16.859537572254336,5
2013,July,August,105,19.897058823529413,32.3164705882353,7.867058823529412,0.0,99.15384615384616,78.66058823529411,7
2013,June,July,168,16.538235294117648,29.91764705882353,3.661764705882353,0.07524752475247524,91.46823529411765,30.519411764705882,6
2013,May,June,122,12.242261904761904,28.063690476190477,-2.4351190476190476,1.921,82.51317365269462,11.86547619047619,5
2014,July,August,77,17.896273291925468,28.96543209876543,7.546296296296297,0.0,94.84545454545454,36.149068322981364,7
2014,June,July,86,17.47361963190184,29.6680981595092,5.415950920245399,0.0,93.09150326797386,36.011042944785274,6
2014,May,June,73,11.832716049382716,27.930246913580245,-0.7691358024691358,0.7137931034482758,71.0316129032258,6.698148148148148,5
2015,July,August,116,19.301807228915663,31.6855421686747,7.156024096385543,0.0,56.760377358490565,63.06987951807229,7
2015,June,July,165,16.04578313253012,27.218072289156627,3.298795180722892,0.0,111.86540880503144,14.711445783132529,6
